season,team,side,drives,score_rate,td_rate,fg_rate,turnover_rate,punt_rate,ppd_basic,ppd_points,yds_per_drive,plays_per_drive,redzone_drive_rate,start_yardline_100_avg,start_own_yardline_avg,hidden_yards_per_drive
2025,ARI,def,63,0.35,0.16,0.19,0.11,0.27,1.71,1.71,28.16,7.21,0.37,66.08,33.92,1.97
2025,ARI,off,72,0.26,0.14,0.12,0.05,0.31,1.33,1.33,20.32,5.78,0.3,64.1,35.9,1.97
2025,ATL,def,44,0.39,0.16,0.23,0.11,0.3,1.8,1.8,22.23,6.52,0.23,61.95,38.05,2.33
2025,ATL,off,58,0.29,0.14,0.14,0.1,0.19,1.44,1.44,25.69,5.92,0.37,59.63,40.37,2.33
2025,BAL,def,71,0.47,0.31,0.16,0.05,0.21,2.66,2.66,28.9,6.49,0.49,56.95,43.05,-5.01
2025,BAL,off,65,0.37,0.24,0.12,0.12,0.25,2.06,2.06,24.32,5.62,0.38,61.96,38.04,-5.01
2025,BUF,def,79,0.26,0.16,0.1,0.06,0.27,1.43,1.43,18.77,4.67,0.38,53.17,46.83,-12.04
2025,BUF,off,70,0.4,0.26,0.14,0.09,0.18,2.22,2.22,28.47,6.2,0.44,65.21,34.79,-12.04
2025,CAR,def,67,0.29,0.2,0.09,0.08,0.27,1.68,1.68,23.41,5.63,0.32,64.11,35.89,0.21
2025,CAR,off,63,0.33,0.21,0.11,0.14,0.25,1.84,1.84,25.24,6.95,0.29,63.89,36.11,0.21
2025,CHI,def,55,0.37,0.26,0.12,0.19,0.23,2.15,2.15,28.84,5.79,0.4,65.79,34.21,6.42
2025,CHI,off,59,0.29,0.19,0.1,0.09,0.29,1.63,1.63,22.4,5.73,0.32,59.37,40.63,6.42
2025,CIN,def,67,0.34,0.27,0.07,0.11,0.26,2.08,2.08,29.59,6.62,0.4,61.61,38.39,-3.35
2025,CIN,off,72,0.23,0.16,0.07,0.15,0.41,1.31,1.31,16.19,5.37,0.23,64.96,35.04,-3.35
2025,CLE,def,75,0.26,0.18,0.08,0.05,0.35,1.48,1.48,16.79,5.22,0.27,61.12,38.88,-2.78
2025,CLE,off,72,0.23,0.14,0.09,0.13,0.39,1.26,1.26,20.73,6.32,0.23,63.91,36.09,-2.78
2025,DAL,def,74,0.36,0.24,0.12,0.05,0.23,2.04,2.04,27.92,6.03,0.38,65.12,34.88,1.95
2025,DAL,off,75,0.36,0.22,0.14,0.11,0.22,1.94,1.94,28.48,6.28,0.41,63.17,36.83,1.95
2025,DEN,def,70,0.27,0.08,0.19,0.05,0.44,1.13,1.13,20.21,6.02,0.23,67.53,32.47,5.07
2025,DEN,off,70,0.3,0.23,0.08,0.08,0.35,1.81,1.81,26.88,6.32,0.32,62.46,37.54,5.07
2025,DET,def,64,0.33,0.25,0.09,0.16,0.32,1.99,1.99,24.01,6.11,0.34,66.88,33.12,6.72
2025,DET,off,69,0.38,0.29,0.09,0.05,0.28,2.32,2.32,26.14,5.98,0.43,60.16,39.84,6.72
2025,GB,def,50,0.3,0.17,0.12,0.04,0.34,1.57,1.57,22.44,6.81,0.36,62.89,37.11,0.15
2025,GB,off,57,0.35,0.22,0.13,0.04,0.26,1.9,1.9,24.69,5.94,0.35,62.74,37.26,0.15
2025,HOU,def,68,0.14,0.11,0.03,0.09,0.38,0.88,0.88,19.38,5.68,0.23,66.9,33.1,3.14
2025,HOU,off,58,0.39,0.19,0.2,0.09,0.31,1.9,1.9,27.56,6.76,0.31,63.76,36.24,3.14
2025,IND,def,56,0.31,0.21,0.1,0.16,0.19,1.75,1.75,28.68,7.34,0.28,63.78,36.22,8.49
2025,IND,off,62,0.49,0.29,0.2,0.03,0.12,2.63,2.63,30.95,6.53,0.53,55.29,44.71,8.49
2025,JAX,def,71,0.27,0.19,0.07,0.22,0.24,1.58,1.58,24.73,5.68,0.34,61.1,38.9,0.68
2025,JAX,off,74,0.3,0.17,0.13,0.13,0.22,1.57,1.57,23.49,5.74,0.38,60.42,39.58,0.68
