season,week,team,side,plays,successes,sr,epa_per_play
2025,1,ARI,def,27,14,0.518519,-0.06094777
2025,1,ARI,off,25,7,0.28,-0.30550766
2025,1,ATL,def,22,9,0.409091,0.0136530185
2025,1,ATL,off,30,17,0.566667,-0.04783283
2025,1,BAL,def,33,20,0.606061,0.19865727
2025,1,BAL,off,25,15,0.6,0.31875575
2025,1,BUF,def,25,15,0.6,0.31875575
2025,1,BUF,off,33,20,0.606061,0.19865727
2025,1,CAR,def,25,11,0.44,0.023142438
2025,1,CAR,off,23,13,0.565217,0.16467118
2025,1,CHI,def,21,12,0.571429,0.1687674
2025,1,CHI,off,28,13,0.464286,-0.06847667
2025,1,CIN,def,27,11,0.407407,-0.13513313
2025,1,CIN,off,18,7,0.388889,-0.20588225
2025,1,CLE,def,18,7,0.388889,-0.20588225
2025,1,CLE,off,27,11,0.407407,-0.13513313
2025,1,DAL,def,24,15,0.625,-0.049697563
2025,1,DAL,off,26,12,0.461538,-0.28298423
2025,1,DEN,def,20,8,0.4,-0.16369873
2025,1,DEN,off,28,15,0.535714,0.24790347
2025,1,DET,def,20,12,0.6,0.2356174
2025,1,DET,off,23,10,0.434783,-0.17771076
2025,1,GB,def,23,10,0.434783,-0.17771076
2025,1,GB,off,20,12,0.6,0.2356174
2025,1,HOU,def,22,10,0.454545,-0.39298946
2025,1,HOU,off,25,10,0.4,-0.2577508
2025,1,IND,def,18,9,0.5,-0.248623
2025,1,IND,off,31,18,0.580645,0.23093851
2025,1,JAX,def,23,13,0.565217,0.16467118
2025,1,JAX,off,25,11,0.44,0.023142438
2025,1,KC,def,26,14,0.538462,0.20525639
2025,1,KC,off,22,15,0.681818,0.37257785
2025,1,LA,def,25,10,0.4,-0.2577508
2025,1,LA,off,22,10,0.454545,-0.39298946
2025,1,LAC,def,22,15,0.681818,0.37257785
2025,1,LAC,off,26,14,0.538462,0.20525639
2025,1,LV,def,28,13,0.464286,-0.15055454
2025,1,LV,off,28,17,0.607143,0.31025794
2025,1,MIA,def,31,18,0.580645,0.23093851
2025,1,MIA,off,18,9,0.5,-0.248623
2025,1,MIN,def,28,13,0.464286,-0.06847667
2025,1,MIN,off,21,12,0.571429,0.1687674
2025,1,NE,def,28,17,0.607143,0.31025794
2025,1,NE,off,28,13,0.464286,-0.15055454
2025,1,NO,def,25,7,0.28,-0.30550766
2025,1,NO,off,27,14,0.518519,-0.06094777
2025,1,NYG,def,29,16,0.551724,-0.07105573
2025,1,NYG,off,24,9,0.375,-0.10536525
2025,1,NYJ,def,24,8,0.333333,-0.093825676
2025,1,NYJ,off,28,18,0.642857,0.37348193
2025,1,PHI,def,26,12,0.461538,-0.28298423
2025,1,PHI,off,24,15,0.625,-0.049697563
2025,1,PIT,def,28,18,0.642857,0.37348193
2025,1,PIT,off,24,8,0.333333,-0.093825676
2025,1,SEA,def,30,16,0.533333,-0.09717019
2025,1,SEA,off,21,15,0.714286,0.0605929
2025,1,SF,def,21,15,0.714286,0.0605929
2025,1,SF,off,30,16,0.533333,-0.09717019
2025,1,TB,def,30,17,0.566667,-0.04783283
2025,1,TB,off,22,9,0.409091,0.0136530185
2025,1,TEN,def,28,15,0.535714,0.24790347
2025,1,TEN,off,20,8,0.4,-0.16369873
2025,1,WAS,def,24,9,0.375,-0.10536525
2025,1,WAS,off,29,16,0.551724,-0.07105573
2025,2,ARI,def,32,15,0.46875,0.03267466
2025,2,ARI,off,21,10,0.47619,0.2751343
2025,2,ATL,def,19,8,0.421053,-0.72167283
2025,2,ATL,off,27,18,0.666667,-0.03239884
2025,2,BAL,def,27,15,0.555556,0.058313847
2025,2,BAL,off,21,8,0.380952,-0.1472389
2025,2,BUF,def,20,11,0.55,-0.19389135
2025,2,BUF,off,29,16,0.551724,0.070202425
2025,2,CAR,def,21,10,0.47619,0.2751343
2025,2,CAR,off,32,15,0.46875,0.03267466
2025,2,CHI,def,30,22,0.733333,0.58878225
2025,2,CHI,off,27,13,0.481481,0.028824413
2025,2,CIN,def,30,16,0.533333,0.11790465
2025,2,CIN,off,30,15,0.5,0.14738092
2025,2,CLE,def,21,8,0.380952,-0.1472389
2025,2,CLE,off,27,15,0.555556,0.058313847
2025,2,DAL,def,29,18,0.62069,0.56111604
2025,2,DAL,off,39,18,0.461538,-0.0052626696
2025,2,DEN,def,31,20,0.645161,0.5034551
2025,2,DEN,off,26,13,0.5,0.09912173
