team,side,games,plays,penalties,penalties_pg,penalty_yds,penalty_yds_pg,pen_per_100_plays,pen_per_100_plays_w,presnap_pen_rate,presnap_pen_rate_w,rz_pen_rate,rz_pen_rate_w,third_fourth_pen,third_fourth_pen_pg,auto_fd_allowed,def_auto_fd_allowed_pg,dpi_yds,def_dpi_yds_pg
ARI,def,2,176,22.0,11.0,171.0,85.5,12.514529252227819,12.5,0.07406689913470231,0.07386363636363637,0.017112230401653106,0.017045454545454544,11.0,5.5,7.0,3.5,7.0,3.5
ARI,off,2,134,15.0,7.5,116.0,58.0,11.084745762711865,11.194029850746269,0.02,0.022388059701492536,0.03694915254237288,0.03731343283582089,4.0,2.0,4.0,2.0,51.0,25.5
ATL,def,2,120,7.0,3.5,66.0,33.0,5.915178571428571,5.833333333333333,0.03459821428571429,0.03333333333333333,0.008928571428571428,0.008333333333333333,1.0,0.5,1.0,0.5,0.0,0.0
ATL,off,2,163,15.0,7.5,106.0,53.0,9.192284508740205,9.202453987730062,0.055455093429776975,0.05521472392638037,0.0189873417721519,0.018404907975460124,3.0,1.5,5.0,2.5,0.0,0.0
BAL,def,2,173,9.0,4.5,79.0,39.5,5.125971589386223,5.202312138728324,0.0231841329402305,0.023121387283236993,0.0,0.0,6.0,3.0,2.0,1.0,35.0,17.5
BAL,off,2,124,10.0,5.0,66.0,33.0,7.889237199582027,8.064516129032258,0.039968652037617555,0.04032258064516129,0.023772204806687566,0.024193548387096774,4.0,2.0,3.0,1.5,12.0,6.0
BUF,def,3,179,7.0,2.3333333333333335,56.0,18.666666666666668,3.9402551471516993,3.910614525139665,0.01744663382594417,0.01675977653631285,0.010875331564986738,0.0111731843575419,2.0,0.6666666666666666,2.0,0.6666666666666666,0.0,0.0
BUF,off,3,237,19.0,6.333333333333333,267.0,89.0,8.05408583186361,8.016877637130802,0.007326007326007327,0.008438818565400843,0.009243431465653687,0.008438818565400843,10.0,3.3333333333333335,9.0,3.0,55.0,18.333333333333332
CAR,def,2,133,15.0,7.5,213.0,106.5,11.165826843792946,11.278195488721805,0.013513513513513514,0.015037593984962405,0.030462666055886396,0.03007518796992481,3.0,1.5,1.0,0.5,38.0,19.0
CAR,off,2,157,14.0,7.0,217.0,108.5,8.559153998678124,8.9171974522293,0.03544282881692003,0.03821656050955414,0.0056179775280898875,0.006369426751592357,8.0,4.0,5.0,2.5,26.0,13.0
CHI,def,2,128,7.0,3.5,144.0,72.0,5.46875,5.46875,0.015625,0.015625,0.0,0.0,4.0,2.0,3.0,1.5,56.0,28.0
CHI,off,2,154,17.0,8.5,134.0,67.0,10.929054054054054,11.03896103896104,0.05101351351351351,0.05194805194805195,0.00625,0.006493506493506494,3.0,1.5,4.0,2.0,0.0,0.0
CIN,def,2,158,12.0,6.0,61.0,30.5,7.509627727856226,7.594936708860759,0.03193196405648267,0.03164556962025317,0.006097560975609756,0.006329113924050633,4.0,2.0,5.0,2.5,10.0,5.0
