season,team,pot_points,takeaways,games,pot_per_takeaway,pot_per_game
2025,ARI,6,4,2,1.5,3.0
2025,ATL,0,6,1,0.0,0.0
2025,BAL,24,5,2,4.8,12.0
2025,BUF,12,7,3,1.7142857142857142,4.0
2025,CAR,6,2,2,3.0,3.0
2025,CHI,0,1,1,0.0,0.0
2025,CIN,6,7,2,0.8571428571428571,3.0
2025,CLE,0,1,1,0.0,0.0
2025,DAL,0,2,1,0.0,0.0
2025,DEN,6,3,1,2.0,6.0
2025,DET,18,5,1,3.6,18.0
2025,GB,0,2,1,0.0,0.0
2025,HOU,0,4,2,0.0,0.0
2025,IND,12,4,2,3.0,6.0
2025,JAX,12,7,2,1.7142857142857142,6.0
2025,KC,0,2,2,0.0,0.0
2025,LA,6,3,2,2.0,3.0
2025,LAC,0,5,2,0.0,0.0
2025,LV,6,4,2,1.5,3.0
2025,MIA,0,2,2,0.0,0.0
2025,MIN,0,4,2,0.0,0.0
2025,NE,12,3,2,4.0,6.0
2025,NO,6,2,1,3.0,6.0
2025,NYG,0,3,1,0.0,0.0
2025,NYJ,0,2,2,0.0,0.0
2025,PHI,6,3,2,2.0,3.0
2025,PIT,6,2,1,3.0,6.0
2025,SEA,0,6,2,0.0,0.0
2025,SF,6,5,2,1.2,3.0
2025,TB,0,1,1,0.0,0.0
2025,TEN,0,5,2,0.0,0.0
2025,WAS,0,2,1,0.0,0.0
