season,week,team,pot_points,takeaways,games,pot_per_takeaway
2025,1,ARI,6,1,1,6.0
2025,1,BAL,6,2,1,3.0
2025,1,BUF,6,2,1,3.0
2025,1,CAR,0,1,1,0.0
2025,1,CHI,0,1,1,0.0
2025,1,CIN,0,2,1,0.0
2025,1,DEN,6,3,1,2.0
2025,1,GB,0,2,1,0.0
2025,1,HOU,0,2,1,0.0
2025,1,IND,12,3,1,4.0
2025,1,JAX,6,4,1,1.5
2025,1,KC,0,1,1,0.0
2025,1,LA,0,2,1,0.0
2025,1,LAC,0,1,1,0.0
2025,1,LV,6,2,1,3.0
2025,1,MIN,0,2,1,0.0
2025,1,NE,6,1,1,6.0
2025,1,NYJ,0,1,1,0.0
2025,1,PHI,0,1,1,0.0
2025,1,SEA,0,3,1,0.0
2025,1,SF,0,3,1,0.0
2025,1,TB,0,1,1,0.0
2025,1,TEN,0,3,1,0.0
2025,1,WAS,0,2,1,0.0
2025,2,ARI,0,3,1,0.0
2025,2,ATL,0,6,1,0.0
2025,2,BAL,18,3,1,6.0
2025,2,BUF,0,3,1,0.0
2025,2,CAR,6,1,1,6.0
2025,2,CIN,6,5,1,1.2
2025,2,CLE,0,1,1,0.0
2025,2,DAL,0,2,1,0.0
2025,2,DET,18,5,1,3.6
2025,2,HOU,0,2,1,0.0
2025,2,IND,0,1,1,0.0
2025,2,JAX,6,3,1,2.0
2025,2,KC,0,1,1,0.0
2025,2,LA,6,1,1,6.0
2025,2,LAC,0,4,1,0.0
2025,2,LV,0,2,1,0.0
2025,2,MIA,0,1,1,0.0
2025,2,MIN,0,2,1,0.0
2025,2,NE,6,2,1,3.0
2025,2,NO,6,2,1,3.0
2025,2,NYG,0,3,1,0.0
2025,2,NYJ,0,1,1,0.0
2025,2,PHI,6,2,1,3.0
2025,2,PIT,6,2,1,3.0
2025,2,SEA,0,3,1,0.0
2025,2,SF,6,2,1,3.0
2025,2,TEN,0,2,1,0.0
2025,3,BUF,6,2,1,3.0
2025,3,MIA,0,1,1,0.0
