season,team,rz_trips,rz_td,rz_fg,rz_empty,rz_efficiency,rz_trips_allowed,rz_td_allowed,rz_fg_allowed,rz_empty_allowed,rz_efficiency_allowed,rz_td_rate
2025,ARI,7,4,0,3,0.5714,9,4,0,5,0.4444,0.5625
2025,ATL,7,2,0,5,0.2857,2,1,0,1,0.5,0.6666666666666666
2025,BAL,7,4,0,3,0.5714,10,7,0,3,0.7,1.0
2025,BUF,16,11,0,5,0.6875,7,5,0,2,0.7143,0.9130434782608695
2025,CAR,5,3,0,2,0.6,9,4,0,5,0.4444,0.6428571428571429
2025,CHI,4,4,0,0,1.0,10,8,0,2,0.8,1.1428571428571428
2025,CIN,7,5,0,2,0.7143,9,5,0,4,0.5556,0.6875
2025,CLE,6,4,0,2,0.6667,7,5,0,2,0.7143,0.8461538461538461
2025,DAL,6,5,0,1,0.8333,8,4,0,4,0.5,0.9285714285714286
2025,DEN,6,4,0,2,0.6667,8,2,0,6,0.25,0.5714285714285714
2025,DET,11,7,0,4,0.6364,7,5,0,2,0.7143,0.7777777777777778
2025,GB,9,6,0,3,0.6667,6,3,0,3,0.5,0.6
2025,HOU,3,0,0,3,0.0,7,5,0,2,0.7143,0.7
2025,IND,12,5,0,7,0.4167,4,4,0,0,1.0,0.625
2025,JAX,11,5,0,6,0.4545,5,3,0,2,0.6,0.625
2025,KC,5,2,0,3,0.4,6,4,0,2,0.6667,0.8181818181818182
2025,LA,9,5,0,4,0.5556,4,1,0,3,0.25,0.5384615384615384
2025,LAC,8,3,0,5,0.375,6,1,0,5,0.1667,0.5
2025,LV,4,1,0,3,0.25,7,2,0,5,0.2857,0.45454545454545453
2025,MIA,6,5,0,1,0.8333,15,10,0,5,0.6667,0.8095238095238095
2025,MIN,4,2,0,2,0.5,7,3,0,4,0.4286,0.6363636363636364
2025,NE,7,4,0,3,0.5714,3,2,0,1,0.6667,0.9
2025,NO,8,4,0,4,0.5,5,4,0,1,0.8,0.6923076923076923
2025,NYG,7,1,0,6,0.1429,7,6,0,1,0.8571,0.7857142857142857
2025,NYJ,5,4,0,1,0.8,6,4,0,2,0.6667,1.0
2025,PHI,5,5,0,0,1.0,5,3,0,2,0.6,0.9
2025,PIT,4,3,0,1,0.75,7,5,0,2,0.7143,1.0
2025,SEA,6,3,0,3,0.5,7,3,0,4,0.4286,0.5384615384615384
2025,SF,7,4,0,3,0.5714,6,4,0,2,0.6667,0.6923076923076923
2025,TB,5,4,0,1,0.8,4,1,0,3,0.25,1.1111111111111112
2025,TEN,5,1,0,4,0.2,9,4,0,5,0.4444,0.5
2025,WAS,6,5,0,1,0.8333,6,3,0,3,0.5,0.6666666666666666
