team,side,epa_h1,epa_h2,sr_h1,sr_h2,adj_epa,adj_sr
ARI,def,0.12918481,-0.054564625,0.5745341614906833,0.5265151515151515,-0.18374944,-0.04801900997553171
ARI,off,0.17418131,-0.011123732,0.4387019230769231,0.4236453201970443,-0.18530503,-0.015056602879878755
ATL,def,0.15015242,0.22147715,0.6133004926108374,0.6132478632478633,0.07132474,-5.262936297412146e-05
ATL,off,-0.123000756,0.12023649,0.39725209080047785,0.47216117216117215,0.24323726,0.07490908136069427
BAL,def,0.099478796,-0.07814925,0.656318082788671,0.4708846584546472,-0.17762804,-0.18543342433402374
BAL,off,0.10595676,0.4280092,0.47023809523809523,0.4209486166007905,0.32205242,-0.04928947863730468
BUF,def,-0.012845536,-0.065722704,0.5607531055900621,0.6179854096520763,-0.052877177,0.057232304062014204
BUF,off,0.25011402,0.23496522,0.5225866892533559,0.49450926561427594,-0.015148804,-0.02807742363908002
CAR,def,-0.2660721,-0.006230548,0.5043424317617866,0.5591133004926109,0.25984153,0.054770868730824235
CAR,off,-0.335035,-0.009000495,0.3214285714285714,0.4635416666666667,0.32603452,0.14211309523809526
CHI,def,0.0016433746,-0.21894145,0.5278195488721804,0.5492753623188406,-0.22058482,0.021455813446660088
CHI,off,-0.029655706,-0.20632657,0.42842741935483875,0.3125,-0.17667085,-0.11592741935483872
CIN,def,-0.13310291,0.07367575,0.5603448275862069,0.5476190476190477,0.20677866,-0.01272577996715929
CIN,off,0.097547814,-0.2800174,0.46904761904761905,0.3380952380952381,-0.37756523,-0.13095238095238093
CLE,def,-0.018393427,0.033838212,0.5476190476190476,0.665631469979296,0.05223167,0.11801242236024848
CLE,off,-0.10764088,-0.18783334,0.29259634888438135,0.4655388471177945,-0.08019247,0.17294249823341315
DAL,def,-0.38388148,-0.11246018,0.4712121212121212,0.5411140583554377,0.2714213,0.06990193714331647
DAL,off,0.21170963,-0.042674154,0.48275862068965514,0.40384615384615385,-0.25438377,-0.07891246684350128
DEN,def,-0.0031609535,0.27144367,0.5678571428571428,0.7071759259259259,0.27460462,0.13931878306878306
DEN,off,0.04337126,-0.009909768,0.40044493882091214,0.4573684210526316,-0.053281028,0.056923482231719474
DET,def,-0.20623468,0.17256969,0.5638586956521738,0.6419836956521738,0.3788044,0.078125
DET,off,0.15899704,0.21066798,0.556221198156682,0.39920948616600793,0.051670942,-0.15701171199067412
GB,def,0.14674327,0.11338507,0.6180645161290322,0.6130536130536131,-0.033358198,-0.005010903075419182
GB,off,0.39780378,-0.056129318,0.5115089514066496,0.4210950080515298,-0.4539331,-0.09041394335511985
HOU,def,-0.13633493,0.008764808,0.5364583333333333,0.5125,0.14509974,-0.023958333333333304
HOU,off,0.059614822,-0.24036944,0.3885630498533724,0.38545150501672243,-0.29998428,-0.003111544836650021
IND,def,0.18568045,0.0077934526,0.6264367816091954,0.5141935483870967,-0.177887,-0.11224323322209862
IND,off,0.2574017,0.15558025,0.5156146179401992,0.5150462962962963,-0.101821475,-0.0005683216439030248
JAX,def,0.14057846,0.12461473,0.638095238095238,0.5852678571428571,-0.01596373,-0.05282738095238099
JAX,off,0.3044607,-0.071130596,0.5725806451612903,0.4051724137931034,-0.37559128,-0.16740823136818686
KC,def,-0.10899928,-0.20651117,0.5449507389162561,0.45119047619047614,-0.0975119,-0.09376026272577997
KC,off,-0.026537588,0.15094951,0.4203703703703704,0.45925925925925926,0.17748708,0.03888888888888889
LA,def,0.00010024384,0.28191656,0.6244239631336406,0.6160477453580901,0.2818163,-0.008376217775550365
LA,off,0.04812409,0.23423414,0.3666666666666667,0.53125,0.18611003,0.16458333333333333
LAC,def,0.21545179,-0.07549831,0.6166666666666667,0.6001157407407407,-0.2909501,-0.016550925925925913
LAC,off,0.28113365,0.023589611,0.47015915119363394,0.5388888888888889,-0.25754404,0.0687297376952549
LV,def,-0.17827989,0.2689791,0.5662393162393162,0.5902777777777778,0.447259,0.024038461538461564
