season,team,side,drives,score_rate,td_rate,fg_rate,turnover_rate,punt_rate,ppd_basic,ppd_points,yds_per_drive,plays_per_drive,redzone_drive_rate,start_yardline_100_avg,start_own_yardline_avg,hidden_yards_per_drive
2025,ARI,def,78,0.35,0.18,0.17,0.11,0.26,1.77,1.77,27.41,6.85,0.35,66.93,33.07,3.44
2025,ARI,off,84,0.28,0.16,0.13,0.06,0.29,1.48,1.48,22.49,6.07,0.35,63.49,36.51,3.44
2025,ATL,def,55,0.35,0.16,0.18,0.13,0.35,1.69,1.69,23.07,6.51,0.24,63.84,36.16,3.1
2025,ATL,off,75,0.28,0.15,0.13,0.09,0.2,1.43,1.43,25.75,5.77,0.38,60.74,39.26,3.1
2025,BAL,def,85,0.43,0.28,0.14,0.06,0.2,2.42,2.42,26.95,6.18,0.47,58.1,41.9,-2.9
2025,BAL,off,76,0.32,0.2,0.12,0.14,0.22,1.76,1.76,24.75,6.03,0.39,61.0,39.0,-2.9
2025,BUF,def,96,0.26,0.16,0.09,0.06,0.26,1.43,1.43,19.98,4.76,0.38,55.17,44.83,-11.07
2025,BUF,off,81,0.36,0.24,0.12,0.1,0.24,2.06,2.06,28.13,6.24,0.41,66.23,33.77,-11.07
2025,CAR,def,77,0.33,0.22,0.11,0.06,0.28,1.85,1.85,24.36,5.91,0.35,63.67,36.33,0.6
2025,CAR,off,80,0.33,0.21,0.12,0.13,0.23,1.82,1.82,25.05,6.63,0.3,63.07,36.93,0.6
2025,CHI,def,67,0.37,0.26,0.11,0.2,0.2,2.12,2.12,28.56,5.95,0.37,65.72,34.28,7.33
2025,CHI,off,74,0.31,0.18,0.13,0.07,0.26,1.65,1.65,23.0,5.64,0.33,58.39,41.61,7.33
2025,CIN,def,78,0.36,0.27,0.09,0.11,0.25,2.14,2.14,30.86,6.66,0.39,61.87,38.13,-2.01
2025,CIN,off,86,0.23,0.15,0.07,0.12,0.39,1.3,1.3,16.71,5.44,0.24,63.88,36.12,-2.01
2025,CLE,def,88,0.28,0.17,0.11,0.05,0.31,1.53,1.53,18.29,5.31,0.25,61.49,38.51,-0.87
2025,CLE,off,88,0.22,0.12,0.11,0.11,0.37,1.14,1.14,19.86,6.28,0.24,62.36,37.64,-0.87
2025,DAL,def,91,0.36,0.23,0.13,0.05,0.21,2.0,2.0,27.28,5.86,0.38,64.09,35.91,1.19
2025,DAL,off,85,0.38,0.23,0.15,0.09,0.24,2.07,2.07,28.6,6.45,0.43,62.89,37.11,1.19
2025,DEN,def,88,0.25,0.07,0.19,0.05,0.43,1.03,1.03,17.6,5.72,0.21,66.61,33.39,2.04
2025,DEN,off,84,0.29,0.2,0.09,0.08,0.36,1.66,1.66,25.33,6.17,0.29,64.57,35.43,2.04
2025,DET,def,77,0.34,0.26,0.08,0.13,0.28,2.05,2.05,24.56,6.06,0.41,64.26,35.74,3.24
2025,DET,off,79,0.37,0.28,0.09,0.04,0.28,2.22,2.22,26.73,6.13,0.43,61.01,38.99,3.24
2025,GB,def,64,0.28,0.17,0.11,0.03,0.33,1.5,1.5,21.81,6.61,0.34,62.01,37.99,-0.79
2025,GB,off,68,0.37,0.23,0.14,0.05,0.25,2.01,2.01,27.19,6.12,0.36,62.8,37.2,-0.79
2025,HOU,def,68,0.14,0.11,0.03,0.09,0.38,0.88,0.88,19.38,5.68,0.23,66.9,33.1,3.14
2025,HOU,off,58,0.39,0.19,0.2,0.09,0.31,1.9,1.9,27.56,6.76,0.31,63.76,36.24,3.14
2025,IND,def,68,0.32,0.21,0.11,0.15,0.19,1.83,1.83,29.46,7.37,0.33,63.22,36.78,5.27
2025,IND,off,77,0.46,0.28,0.18,0.04,0.13,2.53,2.53,29.73,6.28,0.48,57.94,42.06,5.27
2025,JAX,def,87,0.26,0.18,0.08,0.18,0.27,1.52,1.52,24.21,5.48,0.36,60.81,39.19,-1.38
2025,JAX,off,88,0.27,0.16,0.11,0.11,0.28,1.48,1.48,22.82,5.9,0.34,62.2,37.8,-1.38
2025,KC,def,73,0.3,0.18,0.12,0.12,0.2,1.62,1.62,26.87,6.42,0.35,63.28,36.72,0.83
2025,KC,off,77,0.39,0.25,0.15,0.03,0.21,2.18,2.18,28.99,6.52,0.44,62.45,37.55,0.83
2025,LA,def,78,0.29,0.11,0.18,0.13,0.29,1.3,1.3,24.28,6.89,0.28,66.9,33.1,8.39
2025,LA,off,88,0.31,0.19,0.12,0.08,0.19,1.71,1.71,25.87,5.48,0.41,58.51,41.49,8.39
2025,LAC,def,79,0.34,0.15,0.19,0.09,0.27,1.6,1.6,23.35,6.16,0.41,59.68,40.32,-0.57
2025,LAC,off,87,0.3,0.14,0.16,0.1,0.21,1.47,1.47,25.33,5.85,0.39,60.25,39.75,-0.57
2025,LV,def,85,0.32,0.2,0.12,0.1,0.27,1.77,1.77,22.31,5.73,0.38,55.39,44.61,-9.53
2025,LV,off,83,0.26,0.12,0.14,0.15,0.23,1.29,1.29,22.39,5.89,0.29,64.92,35.08,-9.53
2025,MIA,def,80,0.45,0.24,0.21,0.07,0.13,2.33,2.33,29.52,6.25,0.52,57.83,42.17,0.24
2025,MIA,off,74,0.29,0.2,0.09,0.13,0.26,1.69,1.69,23.86,6.02,0.36,57.58,42.42,0.24
2025,MIN,def,83,0.24,0.14,0.11,0.09,0.31,1.27,1.27,17.38,4.92,0.34,54.61,45.39,-11.17
