season,team,side,drives,score_rate,td_rate,fg_rate,turnover_rate,punt_rate,ppd_basic,ppd_points,yds_per_drive,plays_per_drive,redzone_drive_rate,start_yardline_100_avg,start_own_yardline_avg,hidden_yards_per_drive
2024,ARI,def,217,0.34,0.17,0.17,0.09,0.23,1.67,1.67,27.34,6.43,0.36,63.2,36.8,-0.62
2024,ARI,off,213,0.37,0.21,0.16,0.1,0.25,1.96,1.96,29.39,6.56,0.38,63.83,36.17,-0.62
2024,ATL,def,229,0.35,0.21,0.13,0.08,0.23,1.89,1.89,25.96,6.18,0.39,60.12,39.88,-2.16
2024,ATL,off,227,0.31,0.18,0.13,0.12,0.21,1.67,1.67,27.91,6.38,0.37,62.28,37.72,-2.16
2024,BAL,def,257,0.3,0.18,0.12,0.08,0.3,1.61,1.61,23.98,6.26,0.33,63.06,36.94,-0.84
2024,BAL,off,261,0.37,0.28,0.1,0.06,0.23,2.24,2.24,31.75,6.09,0.42,63.9,36.1,-0.84
2024,BUF,def,257,0.3,0.21,0.09,0.15,0.22,1.77,1.77,26.97,6.28,0.37,63.09,36.91,5.53
2024,BUF,off,274,0.39,0.28,0.11,0.03,0.23,2.28,2.28,26.91,6.08,0.46,57.57,42.43,5.53
2024,CAR,def,250,0.4,0.25,0.15,0.07,0.19,2.17,2.17,28.43,6.12,0.44,60.5,39.5,-4.67
2024,CAR,off,230,0.28,0.19,0.09,0.11,0.32,1.59,1.59,22.33,6.01,0.3,65.17,34.83,-4.67
2024,CHI,def,235,0.34,0.18,0.16,0.12,0.26,1.73,1.73,26.84,5.87,0.37,63.43,36.57,0.08
2024,CHI,off,234,0.23,0.14,0.09,0.07,0.36,1.27,1.27,21.07,6.2,0.25,63.35,36.65,0.08
2024,CIN,def,238,0.31,0.22,0.09,0.11,0.25,1.83,1.83,25.09,6.07,0.37,61.5,38.5,4.27
2024,CIN,off,265,0.32,0.22,0.1,0.1,0.21,1.83,1.83,24.26,5.56,0.39,57.23,42.77,4.27
2024,CLE,def,264,0.29,0.2,0.09,0.06,0.32,1.65,1.65,22.7,5.31,0.33,62.04,37.96,-2.28
2024,CLE,off,249,0.2,0.12,0.08,0.14,0.36,1.07,1.07,20.88,6.05,0.26,64.31,35.69,-2.28
2024,DAL,def,247,0.34,0.22,0.12,0.1,0.26,1.91,1.91,24.68,5.8,0.36,61.72,38.28,-3.53
2024,DAL,off,234,0.31,0.14,0.17,0.14,0.27,1.5,1.5,24.44,6.49,0.31,65.26,34.74,-3.53
2024,DEN,def,269,0.27,0.15,0.12,0.09,0.31,1.4,1.4,22.11,5.82,0.33,63.39,36.61,2.89
2024,DEN,off,258,0.3,0.17,0.12,0.08,0.31,1.58,1.58,23.47,5.78,0.34,60.5,39.5,2.89
2024,DET,def,231,0.31,0.18,0.13,0.13,0.27,1.66,1.66,27.86,6.54,0.34,66.05,33.95,4.45
2024,DET,off,249,0.43,0.32,0.11,0.08,0.18,2.55,2.55,31.88,6.31,0.48,61.6,38.4,4.45
2024,GB,def,256,0.25,0.15,0.1,0.12,0.28,1.33,1.33,22.52,5.82,0.33,60.74,39.26,-1.72
2024,GB,off,246,0.37,0.24,0.13,0.11,0.24,2.05,2.05,28.45,6.16,0.4,62.45,37.55,-1.72
