season,team,side,drives,score_rate,td_rate,fg_rate,turnover_rate,punt_rate,ppd_basic,ppd_points,yds_per_drive,plays_per_drive,redzone_drive_rate,start_yardline_100_avg,start_own_yardline_avg,hidden_yards_per_drive,avg_start_yardline_100_off,turnover_drives,field_pos_advantage
2025,ARI,def,17,0.48,0.31,0.17,0.18,0.35,2.66,2.66,39.5,10.4,0.53,72.88,27.12,3.02,72.88,3.06,-2.768823529411762
2025,ARI,off,17,0.47,0.24,0.24,0.06,0.35,2.36,2.36,33.65,7.85,0.42,69.86,30.14,3.02,69.86,1.02,-2.768823529411762
2025,ATL,def,19,0.31,0.15,0.16,0.22,0.42,1.53,1.53,24.0,6.31,0.11,70.6,29.4,0.9,70.6,4.18,-0.7210526315789423
2025,ATL,off,20,0.5,0.15,0.35,0.05,0.3,2.1,2.1,34.2,8.15,0.35,69.7,30.3,0.9,69.7,1.0,-0.7210526315789423
2025,BAL,def,23,0.52,0.34,0.17,0.13,0.44,2.92,2.92,35.34,7.52,0.43,68.65,31.35,3.78,68.65,2.99,-3.789347826086953
2025,BAL,off,22,0.59,0.41,0.18,0.05,0.36,3.41,3.41,30.64,5.64,0.32,64.86,35.14,3.78,64.86,1.1,-3.789347826086953
2025,BUF,def,30,0.39,0.3,0.09,0.1,0.47,2.35,2.35,28.45,6.03,0.24,69.31,30.69,-0.79,69.31,3.0,0.5359999999999872
2025,BUF,off,30,0.63,0.41,0.22,0.03,0.29,3.51,3.51,42.24,7.94,0.54,70.11,29.89,-0.79,70.11,0.8999999999999999,0.5359999999999872
2025,CAR,def,18,0.55,0.22,0.32,0.11,0.22,2.55,2.55,37.21,7.39,0.5,68.6,31.4,-4.28,68.6,1.98,4.097712418300645
2025,CAR,off,17,0.42,0.31,0.12,0.35,0.24,2.49,2.49,36.17,9.34,0.31,72.88,27.12,-4.28,72.88,5.949999999999999,4.097712418300645
2025,CHI,def,24,0.58,0.46,0.12,0.04,0.42,3.58,3.58,31.88,5.33,0.42,65.75,34.25,-4.83,65.75,0.96,4.834999999999994
2025,CHI,off,24,0.25,0.21,0.04,0.17,0.42,1.58,1.58,27.33,6.42,0.17,70.58,29.42,-4.83,70.58,4.08,4.834999999999994
2025,CIN,def,22,0.36,0.22,0.13,0.22,0.18,1.98,1.98,33.02,7.27,0.4,69.6,30.4,4.07,69.6,4.84,-3.6084415584415552
2025,CIN,off,21,0.38,0.28,0.1,0.14,0.44,2.26,2.26,22.96,6.42,0.33,65.53,34.47,4.07,65.53,2.9400000000000004,-3.6084415584415552
2025,CLE,def,21,0.42,0.28,0.14,0.0,0.53,2.4,2.4,18.05,6.1,0.33,62.16,37.84,-8.71,62.16,0.0,8.61999999999999
2025,CLE,off,21,0.33,0.24,0.1,0.19,0.37,1.94,1.94,30.99,7.83,0.29,70.87,29.13,-8.71,70.87,3.99,8.61999999999999
2025,DAL,def,20,0.54,0.35,0.19,0.04,0.31,3.04,3.04,39.96,7.46,0.4,70.44,29.56,-4.73,70.44,0.8,4.7960000000000065
2025,DAL,off,20,0.58,0.29,0.29,0.1,0.29,2.92,2.92,39.1,8.27,0.31,75.17,24.83,-4.73,75.17,2.0,4.7960000000000065
2025,DEN,def,23,0.5,0.1,0.4,0.08,0.27,1.91,1.91,28.77,6.63,0.38,70.05,29.95,5.88,70.05,1.84,-4.316581027667979
2025,DEN,off,22,0.38,0.3,0.08,0.17,0.28,2.32,2.32,30.19,6.79,0.28,64.16,35.84,5.88,64.16,3.74,-4.316581027667979
2025,DET,def,21,0.4,0.29,0.11,0.12,0.33,2.38,2.38,28.9,6.03,0.36,66.69,33.31,-3.72,66.69,2.52,1.463714285714289
2025,DET,off,20,0.52,0.35,0.17,0.06,0.31,2.98,2.98,36.67,7.29,0.54,70.42,29.58,-3.72,70.42,1.2,1.463714285714289
2025,GB,def,19,0.32,0.15,0.17,0.06,0.37,1.59,1.59,25.83,8.12,0.34,70.66,29.34,6.21,70.66,1.14,-4.659248120300745
2025,GB,off,21,0.49,0.29,0.19,0.0,0.33,2.62,2.62,31.61,6.15,0.44,64.44,35.56,6.21,64.44,0.0,-4.659248120300745
2025,HOU,def,19,0.26,0.26,0.0,0.06,0.58,1.83,1.83,34.44,8.18,0.37,75.47,24.53,4.57,75.47,1.14,-5.208421052631579
2025,HOU,off,19,0.37,0.1,0.27,0.11,0.42,1.5,1.5,28.02,6.76,0.16,70.89,29.11,4.57,70.89,2.09,-5.208421052631579
2025,IND,def,16,0.29,0.29,0.0,0.27,0.24,2.06,2.06,33.07,6.98,0.24,64.13,35.87,-7.92,64.13,4.32,9.36158088235294
2025,IND,off,17,0.85,0.31,0.54,0.0,0.0,3.81,3.81,53.51,9.47,0.73,72.06,27.94,-7.92,72.06,0.0,9.36158088235294
2025,JAX,def,20,0.34,0.24,0.1,0.36,0.25,1.96,1.96,30.08,7.1,0.24,69.17,30.83,1.82,69.17,7.199999999999999,-1.8707272727272652
2025,JAX,off,22,0.51,0.22,0.28,0.18,0.18,2.42,2.42,35.57,6.87,0.5,67.35,32.65,1.82,67.35,3.96,-1.8707272727272652
2025,KC,def,18,0.51,0.29,0.22,0.0,0.38,2.69,2.69,35.42,8.04,0.35,71.18,28.83,-0.28,71.18,0.0,0.9759477124183036
2025,KC,off,17,0.48,0.24,0.24,0.06,0.35,2.38,2.38,38.02,8.04,0.3,71.45,28.55,-0.28,71.45,1.02,0.9759477124183036
2025,LA,def,20,0.39,0.05,0.35,0.16,0.45,1.36,1.36,26.18,7.65,0.19,75.04,24.96,6.05,75.04,3.2,-5.899000000000001
2025,LA,off,20,0.38,0.29,0.09,0.1,0.41,2.32,2.32,36.4,6.87,0.44,68.98,31.02,6.05,68.98,2.0,-5.899000000000001
2025,LAC,def,18,0.46,0.12,0.34,0.15,0.29,1.89,1.89,32.59,8.12,0.34,70.76,29.24,0.49,70.76,2.7,-1.3311111111111131
2025,LAC,off,18,0.51,0.29,0.22,0.05,0.28,2.69,2.69,40.48,7.64,0.45,70.28,29.72,0.49,70.28,0.9,-1.3311111111111131
2025,LV,def,21,0.34,0.15,0.19,0.1,0.42,1.59,1.59,31.12,7.02,0.34,68.51,31.49,-4.27,68.51,2.1,4.1042857142856946
2025,LV,off,22,0.32,0.08,0.23,0.19,0.31,1.28,1.28,27.11,6.79,0.19,72.78,27.22,-4.27,72.78,4.18,4.1042857142856946
2025,MIA,def,24,0.76,0.46,0.31,0.0,0.16,4.12,4.12,47.24,8.94,0.64,70.59,29.41,1.78,70.59,0.0,-2.087916666666672
2025,MIA,off,24,0.33,0.24,0.08,0.26,0.28,1.94,1.94,35.19,7.4,0.24,68.8,31.2,1.78,68.8,6.24,-2.087916666666672
2025,MIN,def,22,0.42,0.13,0.29,0.09,0.4,1.81,1.81,29.51,7.28,0.33,68.4,31.6,-3.18,68.4,1.98,2.694545454545448
2025,MIN,off,21,0.36,0.17,0.19,0.26,0.51,1.75,1.75,21.58,5.78,0.18,71.58,28.42,-3.18,71.58,5.46,2.694545454545448
2025,NE,def,20,0.42,0.21,0.21,0.17,0.33,2.08,2.08,38.58,7.1,0.17,72.71,27.29,-0.49,72.71,3.4000000000000004,0.3509999999999991
