season,week,team,drives,td_drives,fg_drives,punt_drives,to_drives,yds,plays,rz_drives,start_yardline_100_avg,ppd_basic_sum,ppd_true_sum,score_drives,score_rate,td_rate,fg_rate,turnover_rate,punt_rate,yds_per_drive,plays_per_drive,redzone_drive_rate,ppd_basic,ppd_points,side
2024,1,ARI,9,4,2,2,1,352.0,70,7,,34,,6,0.6666666666666666,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.2222222222222222,39.111111111111114,7.777777777777778,0.7777777777777778,3.7777777777777777,3.7777777777777777,def
2024,1,ARI,9,2,2,2,1,270.0,64,4,,20,,4,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.2222222222222222,30.0,7.111111111111111,0.4444444444444444,2.2222222222222223,2.2222222222222223,off
2024,1,ATL,9,0,6,3,0,270.0,80,2,,18,,6,0.6666666666666666,0.0,0.6666666666666666,0.0,0.3333333333333333,30.0,8.88888888888889,0.2222222222222222,2.0,2.0,def
2024,1,ATL,10,1,1,4,4,226.0,61,2,,10,,2,0.2,0.1,0.1,0.4,0.4,22.6,6.1,0.2,1.0,1.0,off
2024,1,BAL,9,3,2,3,1,353.0,61,3,,27,,5,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.3333333333333333,39.22222222222222,6.777777777777778,0.3333333333333333,3.0,3.0,def
2024,1,BAL,10,2,2,2,1,452.0,86,4,,20,,4,0.4,0.2,0.2,0.1,0.2,45.2,8.6,0.4,2.0,2.0,off
2024,1,BUF,9,2,2,2,1,270.0,64,4,,20,,4,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.2222222222222222,30.0,7.111111111111111,0.4444444444444444,2.2222222222222223,2.2222222222222223,def
2024,1,BUF,9,4,2,2,1,352.0,70,7,,34,,6,0.6666666666666666,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.2222222222222222,39.111111111111114,7.777777777777778,0.7777777777777778,3.7777777777777777,3.7777777777777777,off
2024,1,CAR,11,5,4,2,0,379.0,73,5,,47,,9,0.8181818181818182,0.45454545454545453,0.36363636363636365,0.0,0.18181818181818182,34.45454545454545,6.636363636363637,0.45454545454545453,4.2727272727272725,4.2727272727272725,def
2024,1,CAR,11,1,1,5,3,193.0,66,2,,10,,2,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.45454545454545453,17.545454545454547,6.0,0.18181818181818182,0.9090909090909091,0.9090909090909091,off
2024,1,CHI,10,4,1,5,3,244.0,74,2,,31,,5,0.5,0.4,0.1,0.3,0.5,24.4,7.4,0.2,3.1,3.1,def
2024,1,CHI,10,0,3,6,0,148.0,68,1,,9,,3,0.3,0.0,0.3,0.0,0.6,14.8,6.8,0.1,0.9,0.9,off
2024,1,CIN,8,1,2,5,0,290.0,75,3,,13,,3,0.375,0.125,0.25,0.0,0.625,36.25,9.375,0.375,1.625,1.625,def
2024,1,CIN,8,1,1,4,2,224.0,56,2,,10,,2,0.25,0.125,0.125,0.25,0.5,28.0,7.0,0.25,1.25,1.25,off
2024,1,CLE,14,2,4,6,0,265.0,76,2,,26,,6,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.0,0.42857142857142855,18.928571428571427,5.428571428571429,0.14285714285714285,1.8571428571428572,1.8571428571428572,def
2024,1,CLE,13,2,1,7,2,230.0,86,2,,17,,3,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.5384615384615384,17.692307692307693,6.615384615384615,0.15384615384615385,1.3076923076923077,1.3076923076923077,off
2024,1,DAL,13,2,1,7,2,230.0,86,2,,17,,3,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.5384615384615384,17.692307692307693,6.615384615384615,0.15384615384615385,1.3076923076923077,1.3076923076923077,def
2024,1,DAL,14,2,4,6,0,265.0,76,2,,26,,6,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.0,0.42857142857142855,18.928571428571427,5.428571428571429,0.14285714285714285,1.8571428571428572,1.8571428571428572,off
2024,1,DEN,14,3,2,5,1,304.0,76,1,,27,,5,0.35714285714285715,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.35714285714285715,21.714285714285715,5.428571428571429,0.07142857142857142,1.9285714285714286,1.9285714285714286,def
2024,1,DEN,13,1,3,8,3,231.0,83,4,,16,,4,0.3076923076923077,0.07692307692307693,0.23076923076923078,0.23076923076923078,0.6153846153846154,17.76923076923077,6.384615384615385,0.3076923076923077,1.2307692307692308,1.2307692307692308,off
2024,1,DET,10,2,2,3,1,387.0,85,5,,20,,4,0.4,0.2,0.2,0.1,0.3,38.7,8.5,0.5,2.0,2.0,def
2024,1,DET,10,3,2,4,1,363.0,69,4,,27,,5,0.5,0.3,0.2,0.1,0.4,36.3,6.9,0.4,2.7,2.7,off
2024,1,GB,10,4,2,2,3,410.0,82,6,,34,,6,0.6,0.4,0.2,0.3,0.2,41.0,8.2,0.6,3.4,3.4,def
2024,1,GB,11,3,3,2,1,414.0,74,4,,30,,6,0.5454545454545454,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.18181818181818182,37.63636363636363,6.7272727272727275,0.36363636363636365,2.727272727272727,2.727272727272727,off
2024,1,HOU,9,4,0,3,1,303.0,48,3,,28,,4,0.4444444444444444,0.4444444444444444,0.0,0.1111111111111111,0.3333333333333333,33.666666666666664,5.333333333333333,0.3333333333333333,3.111111111111111,3.111111111111111,def
2024,1,HOU,9,3,3,2,2,417.0,86,3,,30,,6,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.2222222222222222,46.333333333333336,9.555555555555555,0.3333333333333333,3.3333333333333335,3.3333333333333335,off
2024,1,IND,9,3,3,2,2,417.0,86,3,,30,,6,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.2222222222222222,46.333333333333336,9.555555555555555,0.3333333333333333,3.3333333333333335,3.3333333333333335,def
2024,1,IND,9,4,0,3,1,303.0,48,3,,28,,4,0.4444444444444444,0.4444444444444444,0.0,0.1111111111111111,0.3333333333333333,33.666666666666664,5.333333333333333,0.3333333333333333,3.111111111111111,3.111111111111111,off
2024,1,JAX,11,2,2,4,0,400.0,80,2,,20,,4,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.0,0.36363636363636365,36.36363636363637,7.2727272727272725,0.18181818181818182,1.8181818181818181,1.8181818181818181,def
2024,1,JAX,10,2,1,6,1,267.0,64,3,,17,,3,0.3,0.2,0.1,0.1,0.6,26.7,6.4,0.3,1.7,1.7,off
2024,1,KC,10,2,2,2,1,452.0,86,4,,20,,4,0.4,0.2,0.2,0.1,0.2,45.2,8.6,0.4,2.0,2.0,def
2024,1,KC,9,3,2,3,1,353.0,61,3,,27,,5,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.3333333333333333,39.22222222222222,6.777777777777778,0.3333333333333333,3.0,3.0,off
2024,1,LA,10,3,2,4,1,363.0,69,4,,27,,5,0.5,0.3,0.2,0.1,0.4,36.3,6.9,0.4,2.7,2.7,def
2024,1,LA,10,2,2,3,1,387.0,85,5,,20,,4,0.4,0.2,0.2,0.1,0.3,38.7,8.5,0.5,2.0,2.0,off
2024,1,LAC,12,1,1,5,3,296.0,67,1,,10,,2,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.25,0.4166666666666667,24.666666666666668,5.583333333333333,0.08333333333333333,0.8333333333333334,0.8333333333333334,def
2024,1,LAC,13,2,3,7,1,316.0,70,4,,23,,5,0.38461538461538464,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.5384615384615384,24.307692307692307,5.384615384615385,0.3076923076923077,1.7692307692307692,1.7692307692307692,off
2024,1,LV,13,2,3,7,1,316.0,70,4,,23,,5,0.38461538461538464,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.5384615384615384,24.307692307692307,5.384615384615385,0.3076923076923077,1.7692307692307692,1.7692307692307692,def
2024,1,LV,12,1,1,5,3,296.0,67,1,,10,,2,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.25,0.4166666666666667,24.666666666666668,5.583333333333333,0.08333333333333333,0.8333333333333334,0.8333333333333334,off
2024,1,MIA,10,2,1,6,1,267.0,64,3,,17,,3,0.3,0.2,0.1,0.1,0.6,26.7,6.4,0.3,1.7,1.7,def
2024,1,MIA,11,2,2,4,0,400.0,80,2,,20,,4,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.0,0.36363636363636365,36.36363636363637,7.2727272727272725,0.18181818181818182,1.8181818181818181,1.8181818181818181,off
2024,1,MIN,10,1,2,6,2,240.0,82,3,,13,,3,0.3,0.1,0.2,0.2,0.6,24.0,8.2,0.3,1.3,1.3,def
2024,1,MIN,10,3,0,4,2,312.0,60,2,,21,,3,0.3,0.3,0.0,0.2,0.4,31.2,6.0,0.2,2.1,2.1,off
2024,1,NE,8,1,1,4,2,224.0,56,2,,10,,2,0.25,0.125,0.125,0.25,0.5,28.0,7.0,0.25,1.25,1.25,def
2024,1,NE,8,1,2,5,0,290.0,75,3,,13,,3,0.375,0.125,0.25,0.0,0.625,36.25,9.375,0.375,1.625,1.625,off
2024,1,NO,11,1,1,5,3,193.0,66,2,,10,,2,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.45454545454545453,17.545454545454547,6.0,0.18181818181818182,0.9090909090909091,0.9090909090909091,def
2024,1,NO,11,5,4,2,0,379.0,73,5,,47,,9,0.8181818181818182,0.45454545454545453,0.36363636363636365,0.0,0.18181818181818182,34.45454545454545,6.636363636363637,0.45454545454545453,4.2727272727272725,4.2727272727272725,off
2024,1,NYG,10,3,0,4,2,312.0,60,2,,21,,3,0.3,0.3,0.0,0.2,0.4,31.2,6.0,0.2,2.1,2.1,def
2024,1,NYG,10,1,2,6,2,240.0,82,3,,13,,3,0.3,0.1,0.2,0.2,0.6,24.0,8.2,0.3,1.3,1.3,off
2024,1,NYJ,10,2,6,1,0,401.0,80,5,,32,,8,0.8,0.2,0.6,0.0,0.1,40.1,8.0,0.5,3.2,3.2,def
2024,1,NYJ,10,3,0,3,2,266.0,52,2,,21,,3,0.3,0.3,0.0,0.2,0.3,26.6,5.2,0.2,2.1,2.1,off
2024,1,PHI,11,3,3,2,1,414.0,74,4,,30,,6,0.5454545454545454,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.18181818181818182,37.63636363636363,6.7272727272727275,0.36363636363636365,2.727272727272727,2.727272727272727,def
2024,1,PHI,10,4,2,2,3,410.0,82,6,,34,,6,0.6,0.4,0.2,0.3,0.2,41.0,8.2,0.6,3.4,3.4,off
