season,week,team,drives,td_drives,fg_drives,punt_drives,to_drives,yds,plays,rz_drives,start_yardline_100_avg,ppd_basic_sum,ppd_true_sum,score_drives,score_rate,td_rate,fg_rate,turnover_rate,punt_rate,yds_per_drive,plays_per_drive,redzone_drive_rate,ppd_basic,ppd_points,side
2024,1,ARI,13,4,2,2,1,352.0,81,8,52.15384615384615,34,,6,0.46153846153846156,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.15384615384615385,27.076923076923077,6.230769230769231,0.6153846153846154,2.6153846153846154,2.6153846153846154,def
2024,1,ARI,11,3,2,2,1,272.0,76,5,63.54545454545455,27,,5,0.45454545454545453,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.18181818181818182,24.727272727272727,6.909090909090909,0.45454545454545453,2.4545454545454546,2.4545454545454546,off
2024,1,ATL,17,0,6,3,0,270.0,84,6,45.23529411764706,18,,6,0.35294117647058826,0.0,0.35294117647058826,0.0,0.17647058823529413,15.882352941176471,4.9411764705882355,0.35294117647058826,1.0588235294117647,1.0588235294117647,def
2024,1,ATL,12,1,1,4,4,226.0,70,3,67.0,10,,2,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.3333333333333333,18.833333333333332,5.833333333333333,0.25,0.8333333333333334,0.8333333333333334,off
2024,1,BAL,14,3,2,3,1,353.0,70,6,57.642857142857146,27,,5,0.35714285714285715,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.21428571428571427,25.214285714285715,5.0,0.42857142857142855,1.9285714285714286,1.9285714285714286,def
2024,1,BAL,16,2,2,2,1,452.0,96,10,50.875,20,,4,0.25,0.125,0.125,0.0625,0.125,28.25,6.0,0.625,1.25,1.25,off
2024,1,BUF,11,3,2,2,1,272.0,76,5,63.54545454545455,27,,5,0.45454545454545453,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.18181818181818182,24.727272727272727,6.909090909090909,0.45454545454545453,2.4545454545454546,2.4545454545454546,def
2024,1,BUF,13,4,2,2,1,352.0,81,8,52.15384615384615,34,,6,0.46153846153846156,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.15384615384615385,27.076923076923077,6.230769230769231,0.6153846153846154,2.6153846153846154,2.6153846153846154,off
2024,1,CAR,12,5,4,2,0,379.0,81,6,55.0,47,,9,0.75,0.4166666666666667,0.3333333333333333,0.0,0.16666666666666666,31.583333333333332,6.75,0.5,3.9166666666666665,3.9166666666666665,def
2024,1,CAR,16,1,1,5,3,193.0,79,3,64.3125,10,,2,0.125,0.0625,0.0625,0.1875,0.3125,12.0625,4.9375,0.1875,0.625,0.625,off
2024,1,CHI,15,4,1,6,3,244.0,83,3,69.4,31,,5,0.3333333333333333,0.26666666666666666,0.06666666666666667,0.2,0.4,16.266666666666666,5.533333333333333,0.2,2.066666666666667,2.066666666666667,def
2024,1,CHI,16,0,3,6,0,150.0,76,3,49.4375,9,,3,0.1875,0.0,0.1875,0.0,0.375,9.375,4.75,0.1875,0.5625,0.5625,off
2024,1,CIN,16,1,3,5,0,290.0,82,8,54.375,16,,4,0.25,0.0625,0.1875,0.0,0.3125,18.125,5.125,0.5,1.0,1.0,def
2024,1,CIN,8,1,1,4,2,224.0,61,2,76.125,10,,2,0.25,0.125,0.125,0.25,0.5,28.0,7.625,0.25,1.25,1.25,off
2024,1,CLE,15,2,4,6,0,265.0,85,4,61.2,26,,6,0.4,0.13333333333333333,0.26666666666666666,0.0,0.4,17.666666666666668,5.666666666666667,0.26666666666666666,1.7333333333333334,1.7333333333333334,def
2024,1,CLE,16,3,1,7,2,230.0,98,2,67.4375,24,,4,0.25,0.1875,0.0625,0.125,0.4375,14.375,6.125,0.125,1.5,1.5,off
2024,1,DAL,16,3,1,7,2,230.0,98,2,67.4375,24,,4,0.25,0.1875,0.0625,0.125,0.4375,14.375,6.125,0.125,1.5,1.5,def
2024,1,DAL,15,2,4,6,0,265.0,85,4,61.2,26,,6,0.4,0.13333333333333333,0.26666666666666666,0.0,0.4,17.666666666666668,5.666666666666667,0.26666666666666666,1.7333333333333334,1.7333333333333334,off
2024,1,DEN,20,3,2,5,1,304.0,86,4,74.55,27,,5,0.25,0.15,0.1,0.05,0.25,15.2,4.3,0.2,1.35,1.35,def
2024,1,DEN,17,1,3,8,3,231.0,93,5,60.529411764705884,16,,4,0.23529411764705882,0.058823529411764705,0.17647058823529413,0.17647058823529413,0.47058823529411764,13.588235294117647,5.470588235294118,0.29411764705882354,0.9411764705882353,0.9411764705882353,off
2024,1,DET,13,2,2,3,1,387.0,93,6,70.92307692307692,20,,4,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.23076923076923078,29.76923076923077,7.153846153846154,0.46153846153846156,1.5384615384615385,1.5384615384615385,def
