season,week,team,drives,td_drives,fg_drives,punt_drives,to_drives,yds,plays,rz_drives,start_yardline_100_avg,ppd_basic_sum,ppd_true_sum,score_drives,score_rate,td_rate,fg_rate,turnover_rate,punt_rate,yds_per_drive,plays_per_drive,redzone_drive_rate,ppd_basic,ppd_points,side,start_own_yardline_avg,hidden_yards_per_drive,avg_start_yardline_100_off,turnover_drives
2025,1,ARI,9,1,2,4,1,315.0,87,5,69.89,13,,3,0.33,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.4444444444444444,35.0,9.67,0.5555555555555556,1.4444444444444444,1.44,def,30.11,-1.33,69.89,1.0
2025,1,ARI,9,2,2,4,0,276.0,75,3,71.22,20,,4,0.44,0.2222222222222222,0.2222222222222222,0.0,0.4444444444444444,30.67,8.33,0.3333333333333333,2.2222222222222223,2.22,off,28.78,-1.33,71.22,0.0
2025,1,ATL,10,3,1,4,0,260.0,64,1,67.2,24,,4,0.4,0.3,0.1,0.0,0.4,26.0,6.4,0.1,2.4,2.4,def,32.8,-5.4,67.2,0.0
2025,1,ATL,10,2,2,3,0,358.0,84,2,72.6,20,,4,0.4,0.2,0.2,0.0,0.3,35.8,8.4,0.2,2.0,2.0,off,27.4,-5.4,72.6,0.0
2025,1,BAL,12,5,3,4,1,497.0,91,7,68.75,44,,8,0.67,0.4166666666666667,0.25,0.0833333333333333,0.3333333333333333,41.42,7.58,0.5833333333333334,3.6666666666666665,3.67,def,31.25,0.75,68.75,0.9999999999999996
2025,1,BAL,11,5,2,3,1,432.0,58,3,68.0,41,,7,0.64,0.4545454545454545,0.1818181818181818,0.0909090909090909,0.2727272727272727,39.27,5.27,0.2727272727272727,3.727272727272727,3.73,off,32.0,0.75,68.0,0.9999999999999999
2025,1,BUF,11,5,2,3,1,432.0,58,3,68.0,41,,7,0.64,0.4545454545454545,0.1818181818181818,0.0909090909090909,0.2727272727272727,39.27,5.27,0.2727272727272727,3.727272727272727,3.73,def,32.0,-0.75,68.0,0.9999999999999999
2025,1,BUF,12,5,3,4,1,497.0,91,7,68.75,44,,8,0.67,0.4166666666666667,0.25,0.0833333333333333,0.3333333333333333,41.42,7.58,0.5833333333333334,3.6666666666666665,3.67,off,31.25,-0.75,68.75,0.9999999999999996
2025,1,CAR,10,2,4,2,1,378.0,74,5,68.7,26,,6,0.6,0.2,0.4,0.1,0.2,37.8,7.4,0.5,2.6,2.6,def,31.3,-1.19,68.7,1.0
2025,1,CAR,9,1,1,2,4,255.0,68,1,69.89,10,,2,0.22,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.2222222222222222,28.33,7.56,0.1111111111111111,1.1111111111111112,1.11,off,30.11,-1.19,69.89,4.0
2025,1,CHI,12,4,2,7,1,254.0,64,3,69.17,34,,6,0.5,0.3333333333333333,0.1666666666666666,0.0833333333333333,0.5833333333333334,21.17,5.33,0.25,2.833333333333333,2.83,def,30.83,-0.83,69.17,0.9999999999999996
2025,1,CHI,12,2,1,6,1,317.0,80,2,70.0,17,,3,0.25,0.1666666666666666,0.0833333333333333,0.0833333333333333,0.5,26.42,6.67,0.1666666666666666,1.4166666666666667,1.42,off,30.0,-0.83,70.0,0.9999999999999996
2025,1,CIN,10,2,1,2,2,327.0,82,3,73.2,17,,3,0.3,0.2,0.1,0.2,0.2,32.7,8.2,0.3,1.7,1.7,def,26.8,10.6,73.2,2.0
2025,1,CIN,10,2,1,6,0,141.0,62,3,62.6,17,,3,0.3,0.2,0.1,0.0,0.6,14.1,6.2,0.3,1.7,1.7,off,37.4,10.6,62.6,0.0
2025,1,CLE,10,2,1,6,0,141.0,62,3,62.6,17,,3,0.3,0.2,0.1,0.0,0.6,14.1,6.2,0.3,1.7,1.7,def,37.4,-10.6,62.6,0.0
2025,1,CLE,10,2,1,2,2,327.0,82,3,73.2,17,,3,0.3,0.2,0.1,0.2,0.2,32.7,8.2,0.3,1.7,1.7,off,26.8,-10.6,73.2,2.0
2025,1,DAL,8,3,1,3,0,302.0,68,3,72.38,24,,4,0.5,0.375,0.125,0.0,0.375,37.75,8.5,0.375,3.0,3.0,def,27.62,-4.38,72.38,0.0
2025,1,DAL,8,2,2,2,1,307.0,65,3,76.75,20,,4,0.5,0.25,0.25,0.125,0.25,38.38,8.12,0.375,2.5,2.5,off,23.25,-4.38,76.75,1.0
2025,1,DEN,13,0,4,7,2,133.0,71,2,61.69,12,,4,0.31,0.0,0.3076923076923077,0.1538461538461538,0.5384615384615384,10.23,5.46,0.1538461538461538,0.9230769230769232,0.92,def,38.31,-5.08,61.69,1.9999999999999993
2025,1,DEN,13,2,2,3,3,317.0,84,3,66.77,20,,4,0.31,0.1538461538461538,0.1538461538461538,0.2307692307692307,0.2307692307692307,24.38,6.46,0.2307692307692307,1.5384615384615383,1.54,off,33.23,-5.08,66.77,2.999999999999999
2025,1,DET,9,3,2,3,0,266.0,53,5,62.22,27,,5,0.56,0.3333333333333333,0.2222222222222222,0.0,0.3333333333333333,29.56,5.89,0.5555555555555556,3.0,3.0,def,37.78,-16.28,62.22,0.0
2025,1,DET,8,1,2,3,1,246.0,74,4,78.5,13,,3,0.38,0.125,0.25,0.125,0.375,30.75,9.25,0.5,1.625,1.62,off,21.5,-16.28,78.5,1.0
2025,1,GB,8,1,2,3,1,246.0,74,4,78.5,13,,3,0.38,0.125,0.25,0.125,0.375,30.75,9.25,0.5,1.625,1.62,def,21.5,16.28,78.5,1.0
2025,1,GB,9,3,2,3,0,266.0,53,5,62.22,27,,5,0.56,0.3333333333333333,0.2222222222222222,0.0,0.3333333333333333,29.56,5.89,0.5555555555555556,3.0,3.0,off,37.78,16.28,62.22,0.0
2025,1,HOU,9,2,0,5,1,296.0,68,3,71.33,14,,2,0.22,0.2222222222222222,0.0,0.1111111111111111,0.5555555555555556,32.89,7.56,0.3333333333333333,1.5555555555555556,1.56,def,28.67,-7.56,71.33,1.0
2025,1,HOU,9,0,3,4,2,265.0,73,1,78.89,9,,3,0.33,0.0,0.3333333333333333,0.2222222222222222,0.4444444444444444,29.44,8.11,0.1111111111111111,1.0,1.0,off,21.11,-7.56,78.89,2.0
