team,plays,avg_epa_allowed,median_epa_allowed,success_rate_allowed,explosive_allowed,explosive_rate_allowed,yards_allowed,season
MIN,1434,-0.0727,-0.0796,0.4589,56,0.0391,5710.0,2024
DEN,1449,-0.0725,-0.0919,0.4458,58,0.04,5397.0,2024
PHI,1312,-0.0579,-0.0991,0.4451,41,0.0312,4740.0,2024
LAC,1372,-0.051,-0.0615,0.4643,61,0.0445,5514.0,2024
GB,1377,-0.0395,-0.0,0.4793,57,0.0414,5349.0,2024
DET,1386,-0.0383,-0.0659,0.4632,71,0.0512,5822.0,2024
PIT,1379,-0.0251,-0.0266,0.4757,57,0.0413,5558.0,2024
HOU,1390,-0.0165,-0.0955,0.4453,62,0.0446,5359.0,2024
CLE,1379,-0.0112,-0.1193,0.4365,78,0.0566,5816.0,2024
SEA,1418,-0.0103,-0.0279,0.4619,58,0.0409,5660.0,2024
BUF,1385,-0.0036,-0.0073,0.4794,54,0.039,5810.0,2024
MIA,1360,-0.0025,-0.0244,0.464,52,0.0382,5351.0,2024
LV,1422,-0.001,-0.0741,0.4536,61,0.0429,5640.0,2024
KC,1355,-0.0004,-0.0298,0.462,60,0.0443,5453.0,2024
TB,1407,0.0043,-0.0,0.494,63,0.0448,5810.0,2024
NO,1464,0.0064,-0.0676,0.459,74,0.0505,6465.0,2024
BAL,1432,0.0085,-0.0529,0.4539,61,0.0426,5515.0,2024
IND,1450,0.0086,-0.0304,0.4662,58,0.04,6146.0,2024
CHI,1339,0.0111,-0.0238,0.4698,69,0.0515,6022.0,2024
LA,1396,0.0357,0.0,0.4814,66,0.0473,6005.0,2024
TEN,1348,0.0378,-0.0278,0.4674,60,0.0445,5293.0,2024
NYG,1371,0.0404,-0.0,0.4792,68,0.0496,5898.0,2024
WAS,1382,0.0409,-0.0262,0.4653,61,0.0441,5560.0,2024
ATL,1404,0.0439,0.0,0.4815,52,0.037,5874.0,2024
NYJ,1415,0.0485,-0.008,0.4728,56,0.0396,5338.0,2024
ARI,1354,0.0497,0.0329,0.5052,58,0.0428,5825.0,2024
NE,1375,0.0504,-0.0043,0.4778,55,0.04,5833.0,2024
DAL,1407,0.0511,-0.0,0.4769,59,0.0419,6041.0,2024
CIN,1418,0.056,0.0013,0.4986,58,0.0409,5925.0,2024
SF,1336,0.0645,0.0177,0.5037,50,0.0374,5397.0,2024
JAX,1476,0.0982,0.0,0.479,83,0.0562,6631.0,2024
CAR,1494,0.1214,0.0512,0.5221,66,0.0442,6883.0,2024
