team,plays,avg_epa_allowed,success_rate_allowed,explosive_allowed,explosive_rate_allowed,yards_allowed,week,season
DEN,50,-0.3102,0.3,2,0.04,98.0,18,2024
BAL,77,-0.2554,0.3377,3,0.039,230.0,18,2024
DET,81,-0.2497,0.358,3,0.037,262.0,18,2024
CHI,79,-0.1695,0.443,5,0.0633,367.0,18,2024
GB,81,-0.1302,0.3951,1,0.0123,224.0,18,2024
HOU,77,-0.1006,0.4026,3,0.039,316.0,18,2024
NE,83,-0.0858,0.4096,2,0.0241,259.0,18,2024
PHI,68,-0.0831,0.4265,1,0.0147,238.0,18,2024
NYJ,88,-0.0673,0.4659,4,0.0455,334.0,18,2024
ARI,94,-0.0439,0.4894,6,0.0638,436.0,18,2024
NYG,85,-0.0045,0.4353,0,0.0,303.0,18,2024
CIN,76,-0.0027,0.4342,1,0.0132,193.0,18,2024
BUF,80,0.0035,0.425,2,0.025,309.0,18,2024
LAC,67,0.0088,0.5224,5,0.0746,264.0,18,2024
MIN,84,0.0359,0.5119,3,0.0357,394.0,18,2024
WAS,101,0.0424,0.4356,4,0.0396,378.0,18,2024
JAX,100,0.0483,0.54,3,0.03,429.0,18,2024
TEN,77,0.0523,0.5065,3,0.039,374.0,18,2024
TB,83,0.0533,0.506,2,0.0241,292.0,18,2024
IND,89,0.0563,0.4719,4,0.0449,319.0,18,2024
PIT,90,0.0584,0.5222,0,0.0,314.0,18,2024
MIA,79,0.0691,0.481,5,0.0633,377.0,18,2024
CLE,85,0.0931,0.4588,6,0.0706,437.0,18,2024
SEA,81,0.0943,0.4938,6,0.0741,403.0,18,2024
DAL,73,0.1025,0.5205,3,0.0411,269.0,18,2024
NO,86,0.1325,0.4767,5,0.0581,395.0,18,2024
LA,73,0.1893,0.5616,4,0.0548,336.0,18,2024
CAR,96,0.1985,0.6354,8,0.0833,537.0,18,2024
LV,94,0.2125,0.5532,5,0.0532,475.0,18,2024
SF,86,0.247,0.5698,6,0.0698,393.0,18,2024
KC,87,0.3149,0.5632,6,0.069,479.0,18,2024
ATL,85,0.3302,0.5529,4,0.0471,425.0,18,2024
