team,plays,avg_epa,median_epa,success_rate,explosive_plays,explosive_rate,total_yards,early_down_epa,third_down_sr,season
BAL,1398,0.1401,0.0364,0.5107,84,0.0601,7201.0,0.1404,0.0773,2024
DET,1425,0.1396,0.0512,0.5277,76,0.0533,6964.0,0.0772,0.0744,2024
BUF,1378,0.1358,0.0001,0.4956,69,0.0501,6107.0,0.1151,0.0769,2024
WAS,1442,0.1165,0.0418,0.5111,64,0.0444,6292.0,0.0439,0.0811,2024
TB,1426,0.102,0.0512,0.5154,73,0.0512,6795.0,0.0648,0.0891,2024
CIN,1426,0.0897,0.0186,0.5049,58,0.0407,6216.0,0.0806,0.0771,2024
PHI,1441,0.0801,0.0,0.4698,74,0.0514,6248.0,0.063,0.077,2024
GB,1364,0.0722,-0.0,0.4824,74,0.0543,6309.0,0.0653,0.0696,2024
ARI,1369,0.0628,0.0246,0.5055,60,0.0438,6096.0,0.0608,0.0701,2024
KC,1405,0.0531,0.0016,0.4975,49,0.0349,5570.0,-0.0082,0.0904,2024
LAC,1352,0.0397,-0.0833,0.4556,65,0.0481,5517.0,0.0207,0.0754,2024
DEN,1389,0.0258,-0.0308,0.4672,62,0.0446,5518.0,-0.0146,0.0742,2024
SF,1358,0.0235,0.0,0.4838,79,0.0582,6397.0,0.0466,0.0714,2024
MIN,1402,0.0229,0.0,0.48,70,0.0499,5898.0,0.0099,0.0713,2024
LA,1355,0.0175,0.0,0.4915,54,0.0399,5633.0,0.0506,0.0708,2024
ATL,1421,0.0114,0.0112,0.4989,64,0.045,6291.0,0.0025,0.0753,2024
JAX,1305,0.0067,-0.0466,0.459,62,0.0475,5214.0,-0.0192,0.0682,2024
PIT,1422,0.0064,-0.0622,0.4564,66,0.0464,5430.0,-0.0574,0.0767,2024
NYJ,1339,-0.0043,-0.0495,0.4623,58,0.0433,5285.0,-0.0043,0.0807,2024
SEA,1401,-0.0096,-0.0026,0.4725,63,0.045,5647.0,-0.0172,0.0692,2024
HOU,1406,-0.0123,-0.1405,0.4367,58,0.0413,5435.0,-0.08,0.0768,2024
MIA,1408,-0.0147,-0.0137,0.4766,45,0.032,5536.0,-0.0062,0.0675,2024
IND,1376,-0.0359,-0.0683,0.4528,69,0.0501,5694.0,-0.064,0.0654,2024
CAR,1353,-0.0392,-0.0602,0.4575,56,0.0414,5068.0,-0.0347,0.068,2024
DAL,1478,-0.045,-0.067,0.4499,50,0.0338,5569.0,-0.074,0.0697,2024
NO,1369,-0.0505,-0.1376,0.4368,54,0.0394,5444.0,-0.0626,0.0672,2024
CHI,1427,-0.0512,-0.1368,0.431,47,0.0329,4826.0,-0.0683,0.0652,2024
NE,1380,-0.0643,-0.0407,0.4659,43,0.0312,4967.0,-0.0821,0.0688,2024
NYG,1413,-0.0829,-0.1339,0.4423,46,0.0326,5013.0,-0.1143,0.0786,2024
TEN,1384,-0.0896,-0.126,0.4386,51,0.0368,5178.0,-0.1117,0.073,2024
LV,1403,-0.1066,-0.0985,0.4498,54,0.0385,5158.0,-0.1292,0.0727,2024
CLE,1471,-0.1506,-0.2087,0.4052,46,0.0313,5124.0,-0.164,0.0591,2024
