team,plays,avg_epa,median_epa,success_rate,explosive_plays,explosive_rate,total_yards,early_down_epa,third_down_sr,week,season
CAR,85,0.3302,0.0686,0.5529,4,0.0471,425.0,0.2341,0.1059,18,2024
DEN,87,0.3149,0.0676,0.5632,6,0.069,479.0,0.1851,0.1379,18,2024
ARI,86,0.247,0.0686,0.5698,6,0.0698,393.0,0.3275,0.0581,18,2024
LAC,94,0.2125,0.0512,0.5532,5,0.0532,475.0,0.2676,0.0851,18,2024
ATL,96,0.1985,0.2226,0.6354,8,0.0833,537.0,0.1514,0.1042,18,2024
SEA,73,0.1893,0.0666,0.5616,4,0.0548,336.0,0.1577,0.0959,18,2024
TB,86,0.1325,0.0,0.4767,5,0.0581,395.0,-0.041,0.1163,18,2024
WAS,73,0.1025,0.0686,0.5205,3,0.0411,269.0,0.0536,0.0822,18,2024
LA,81,0.0943,0.0,0.4938,6,0.0741,403.0,0.1374,0.0617,18,2024
BAL,85,0.0931,-0.092,0.4588,6,0.0706,437.0,0.1544,0.0824,18,2024
NYJ,79,0.0691,-0.038,0.481,5,0.0633,377.0,0.0234,0.0633,18,2024
CIN,90,0.0584,0.0481,0.5222,0,0.0,314.0,0.0568,0.0667,18,2024
JAX,89,0.0563,0.0,0.4719,4,0.0449,319.0,0.043,0.0674,18,2024
NO,83,0.0533,0.0004,0.506,2,0.0241,292.0,0.0348,0.0482,18,2024
HOU,77,0.0523,0.0379,0.5065,3,0.039,374.0,-0.0089,0.1039,18,2024
IND,100,0.0483,0.0686,0.54,3,0.03,429.0,0.17,0.05,18,2024
DAL,101,0.0424,-0.083,0.4356,4,0.0396,378.0,-0.0215,0.0693,18,2024
DET,84,0.0359,0.0512,0.5119,3,0.0357,394.0,-0.0092,0.0595,18,2024
LV,67,0.0088,0.0381,0.5224,5,0.0746,264.0,-0.024,0.0299,18,2024
NE,80,0.0035,-0.1663,0.425,2,0.025,309.0,-0.1095,0.075,18,2024
PIT,76,-0.0027,-0.1118,0.4342,1,0.0132,193.0,-0.0607,0.0921,18,2024
PHI,85,-0.0045,-0.1759,0.4353,0,0.0,303.0,-0.015,0.0588,18,2024
SF,94,-0.0439,0.0,0.4894,6,0.0638,436.0,0.0191,0.0532,18,2024
MIA,88,-0.0673,-0.0337,0.4659,4,0.0455,334.0,-0.1395,0.0341,18,2024
NYG,68,-0.0831,-0.2522,0.4265,1,0.0147,238.0,-0.16,0.0588,18,2024
BUF,83,-0.0858,-0.1245,0.4096,2,0.0241,259.0,-0.0506,0.0843,18,2024
TEN,77,-0.1006,-0.1142,0.4026,3,0.039,316.0,-0.3688,0.0779,18,2024
CHI,81,-0.1302,-0.2298,0.3951,1,0.0123,224.0,-0.313,0.0864,18,2024
GB,79,-0.1695,-0.1602,0.443,5,0.0633,367.0,-0.0624,0.038,18,2024
MIN,81,-0.2497,-0.3971,0.358,3,0.037,262.0,-0.0905,0.0617,18,2024
CLE,77,-0.2554,-0.3111,0.3377,3,0.039,230.0,-0.4355,0.0909,18,2024
KC,50,-0.3102,-0.3398,0.3,2,0.04,98.0,-0.3165,0.02,18,2024
