defteam,season,def_plays,expl_rush_allowed,expl_pass_allowed,expl_total_allowed,expl_rate_allowed,chunk20_allowed,chunk20_rate
ARI,2024,1031,60,90,150,0.1454898157129001,58,0.05625606207565471
ATL,2024,1049,57,81,138,0.1315538608198284,52,0.04957102001906578
BAL,2024,1152,28,122,150,0.13020833333333334,68,0.059027777777777776
BUF,2024,1200,79,104,183,0.1525,65,0.05416666666666667
CAR,2024,1131,83,105,188,0.16622458001768348,66,0.058355437665782495
CHI,2024,1017,64,101,165,0.16224188790560473,69,0.06784660766961652
CIN,2024,1072,54,92,146,0.13619402985074627,58,0.054104477611940295
CLE,2024,1010,70,89,159,0.15742574257425743,78,0.07722772277227723
DAL,2024,1026,63,86,149,0.145224171539961,59,0.057504873294346975
DEN,2024,1148,46,93,139,0.1210801393728223,62,0.05400696864111498
DET,2024,1080,52,111,163,0.15092592592592594,77,0.0712962962962963
GB,2024,1078,50,91,141,0.13079777365491652,59,0.05473098330241188
HOU,2024,1142,60,88,148,0.1295971978984238,66,0.05779334500875657
IND,2024,1094,68,87,155,0.1416819012797075,58,0.05301645338208409
JAX,2024,1103,64,104,168,0.15231187669990934,83,0.07524932003626474
KC,2024,1216,52,102,154,0.12664473684210525,74,0.06085526315789474
LA,2024,1177,57,102,159,0.135089209855565,74,0.06287170773152082
LAC,2024,1093,60,82,142,0.12991765782250686,65,0.059469350411710885
LV,2024,1027,51,95,146,0.14216163583252192,61,0.05939629990262902
MIA,2024,995,50,89,139,0.13969849246231156,52,0.05226130653266332
MIN,2024,1117,41,111,152,0.1360787824529991,60,0.05371530886302596
NE,2024,1056,50,73,123,0.11647727272727272,55,0.052083333333333336
NO,2024,1098,60,99,159,0.1448087431693989,74,0.06739526411657559
NYG,2024,1031,66,80,146,0.14161008729388944,68,0.06595538312318137
NYJ,2024,1051,55,80,135,0.12844909609895339,56,0.0532825880114177
PHI,2024,1245,51,83,134,0.10763052208835341,59,0.04738955823293173
PIT,2024,1094,49,102,151,0.1380255941499086,64,0.05850091407678245
SEA,2024,1051,48,78,126,0.11988582302568981,58,0.05518553758325404
SF,2024,1012,45,67,112,0.11067193675889328,50,0.04940711462450593
TB,2024,1119,38,98,136,0.12153708668453976,67,0.05987488829311886
TEN,2024,996,54,71,125,0.12550200803212852,60,0.060240963855421686
WAS,2024,1192,79,107,186,0.15604026845637584,78,0.06543624161073826
