season,team,side,plays,successes,sr,epa_per_play
2024,ARI,def,454,247,0.544053,0.03771057472217342
2024,ARI,off,473,260,0.549683,0.09705386584328976
2024,ATL,def,459,249,0.542484,0.046748360331707775
2024,ATL,off,477,264,0.553459,-0.01889400161548705
2024,BAL,def,496,256,0.516129,0.05846996097126323
2024,BAL,off,545,304,0.557798,0.1577032475913936
2024,BUF,def,547,280,0.511883,-0.03326121504168289
2024,BUF,off,526,274,0.520913,0.06881193659130624
2024,CAR,def,518,316,0.610039,0.1314593121397842
2024,CAR,off,423,219,0.51773,0.02737466813292027
2024,CHI,def,460,256,0.556522,0.080082594245291
2024,CHI,off,430,214,0.497674,-0.06750911345707575
2024,CIN,def,471,233,0.494692,-0.04093127992751269
2024,CIN,off,481,266,0.553015,0.09569227748814042
2024,CLE,def,438,217,0.495434,0.0224963246891089
2024,CLE,off,464,201,0.43319,-0.17164110296264348
2024,DAL,def,457,250,0.547046,0.08203136528778722
2024,DAL,off,473,233,0.4926,-0.10223635014230587
2024,DEN,def,493,219,0.444219,-0.11319088108742441
2024,DEN,off,463,243,0.524838,-0.005910184151028152
2024,DET,def,485,243,0.501031,-0.02777892934614428
2024,DET,off,536,313,0.583955,0.15657520557227902
2024,GB,def,477,241,0.505241,-0.01538785548045078
2024,GB,off,482,261,0.541494,0.03697651194486307
2024,HOU,def,493,231,0.46856,-0.09600115223105526
2024,HOU,off,508,236,0.464567,-0.02961734926168729
2024,IND,def,477,235,0.492662,-0.10748146966827642
2024,IND,off,454,223,0.491189,-0.017899157872984055
2024,JAX,def,497,279,0.561368,0.14884579501860368
2024,JAX,off,427,208,0.487119,-0.053848537280340406
2024,KC,def,517,261,0.504836,-0.02096420862342752
2024,KC,off,532,299,0.56203,0.03679436584157761
2024,LA,def,512,270,0.527344,0.02670975374678619
2024,LA,off,515,284,0.551456,0.05089798293432911
2024,LAC,def,476,264,0.554622,-0.07770239692827335
2024,LAC,off,453,209,0.461369,-0.07089099972538523
2024,LV,def,441,217,0.492063,-0.07380762082419534
2024,LV,off,455,228,0.501099,-0.09174160573530461
2024,MIA,def,441,229,0.519274,0.0075437376340492315
2024,MIA,off,478,243,0.508368,0.0076914142778778454
2024,MIN,def,487,237,0.486653,-0.10122857797647311
2024,MIN,off,492,244,0.495935,-0.0272433968314005
2024,NE,def,460,251,0.545652,0.07322240960281244
2024,NE,off,434,215,0.495392,-0.11448293040187166
2024,NO,def,479,258,0.538622,0.04125422940008706
2024,NO,off,431,210,0.487239,-0.07515242715255982
2024,NYG,def,455,228,0.501099,0.0028662229415667246
2024,NYG,off,439,230,0.523918,-0.0634407418737467
2024,NYJ,def,457,195,0.426696,-0.09210115763411247
2024,NYJ,off,433,223,0.515012,-0.009851569344849362
2024,PHI,def,532,273,0.513158,-0.1252559196189715
2024,PHI,off,579,293,0.506045,0.0694004456236772
2024,PIT,def,489,249,0.509202,-0.007631058815999074
2024,PIT,off,468,223,0.476496,-0.06766876165086062
2024,SEA,def,466,253,0.542918,0.1237143918654137
2024,SEA,off,456,230,0.504386,-0.06470125057960942
2024,SF,def,434,232,0.534562,0.042222963073742514
2024,SF,off,467,249,0.533191,0.05114246244647997
2024,TB,def,485,247,0.509278,-0.016028427085794814
2024,TB,off,519,309,0.595376,0.14535518070150827
2024,TEN,def,434,233,0.536866,0.022373020722855887
2024,TEN,off,445,217,0.48764,-0.08375721959118584
2024,WAS,def,535,274,0.51215,0.016146878755696287
2024,WAS,off,564,298,0.528369,-0.007481067043654968
