season,week,team,side,plays,successes,sr,epa_per_play
2024,1,ARI,def,27,16,0.592593,-0.10395563210584913
2024,1,ARI,off,24,12,0.5,-0.008952516163844848
2024,1,ATL,def,25,12,0.48,-0.08173913366756728
2024,1,ATL,off,24,17,0.708333,-0.29500720604604186
2024,1,BAL,def,26,17,0.653846,0.16392803771081021
2024,1,BAL,off,32,19,0.59375,-0.05809082463201776
2024,1,BUF,def,24,12,0.5,-0.008952516163844848
2024,1,BUF,off,27,16,0.592593,-0.10395563210584913
2024,1,CAR,def,28,20,0.714286,0.2686012935695804
2024,1,CAR,off,23,11,0.478261,-0.29161210879195937
2024,1,CHI,def,26,14,0.538462,0.1532494573184522
2024,1,CHI,off,20,14,0.7,-0.07956454570376081
2024,1,CIN,def,25,12,0.48,-0.060949981529265645
2024,1,CIN,off,19,12,0.631579,0.05832338645613115
2024,1,CLE,def,26,10,0.384615,-0.10957552676084631
2024,1,CLE,off,26,9,0.346154,-0.19912286988535646
2024,1,DAL,def,26,9,0.346154,-0.19912286988535646
2024,1,DAL,off,26,10,0.384615,-0.10957552676084631
2024,1,DEN,def,28,12,0.428571,-0.05837971680739429
2024,1,DEN,off,27,10,0.37037,-0.0957876365440914
2024,1,DET,def,34,19,0.558824,0.03350352491200764
2024,1,DET,off,28,19,0.678571,0.2691404031679018
2024,1,GB,def,32,12,0.375,-0.10884375856221595
2024,1,GB,off,27,16,0.592593,0.34779998065830486
2024,1,HOU,def,18,9,0.5,0.3835593591082013
2024,1,HOU,off,32,19,0.59375,-0.006732587536134815
2024,1,IND,def,32,19,0.59375,-0.006732587536134815
2024,1,IND,off,18,9,0.5,0.3835593591082013
2024,1,JAX,def,26,12,0.461538,0.220435948330515
2024,1,JAX,off,24,16,0.666667,-0.07676895905266672
2024,1,KC,def,32,19,0.59375,-0.05809082463201776
2024,1,KC,off,26,17,0.653846,0.16392803771081021
2024,1,LA,def,28,19,0.678571,0.2691404031679018
2024,1,LA,off,34,19,0.558824,0.03350352491200764
2024,1,LAC,def,27,16,0.592593,-0.2777022249022223
2024,1,LAC,off,21,10,0.47619,0.06367756602066081
2024,1,LV,def,21,10,0.47619,0.06367756602066081
2024,1,LV,off,27,16,0.592593,-0.2777022249022223
2024,1,MIA,def,24,16,0.666667,-0.07676895905266672
2024,1,MIA,off,26,12,0.461538,0.220435948330515
2024,1,MIN,def,25,11,0.44,-0.4592295875027776
2024,1,MIN,off,23,13,0.565217,0.0772028154637867
2024,1,NE,def,19,12,0.631579,0.05832338645613115
2024,1,NE,off,25,12,0.48,-0.060949981529265645
2024,1,NO,def,23,11,0.478261,-0.29161210879195937
2024,1,NO,off,28,20,0.714286,0.2686012935695804
2024,1,NYG,def,23,13,0.565217,0.0772028154637867
2024,1,NYG,off,25,11,0.44,-0.4592295875027776
2024,1,NYJ,def,32,14,0.4375,-0.0015807569407115807
2024,1,NYJ,off,20,10,0.5,-0.16384249721304514
2024,1,PHI,def,27,16,0.592593,0.34779998065830486
2024,1,PHI,off,32,12,0.375,-0.10884375856221595
2024,1,PIT,def,24,17,0.708333,-0.29500720604604186
2024,1,PIT,off,25,12,0.48,-0.08173913366756728
2024,1,SEA,def,27,10,0.37037,-0.0957876365440914
2024,1,SEA,off,28,12,0.428571,-0.05837971680739429
2024,1,SF,def,20,10,0.5,-0.16384249721304514
2024,1,SF,off,32,14,0.4375,-0.0015807569407115807
2024,1,TB,def,26,14,0.538462,0.07328916027080805
2024,1,TB,off,25,14,0.56,-0.010318872146308422
2024,1,TEN,def,20,14,0.7,-0.07956454570376081
2024,1,TEN,off,26,14,0.538462,0.1532494573184522
2024,1,WAS,def,25,14,0.56,-0.010318872146308422
2024,1,WAS,off,26,14,0.538462,0.07328916027080805
2024,2,ARI,def,23,12,0.521739,0.32372869497656054
2024,2,ARI,off,28,13,0.464286,0.07096712095829259
2024,2,ATL,def,30,18,0.6,-0.04651706061073734
2024,2,ATL,off,26,17,0.653846,0.300979185336753
2024,2,BAL,def,26,11,0.423077,-0.1469397243513063
2024,2,BAL,off,28,16,0.571429,0.0017978503466500634
2024,2,BUF,def,29,11,0.37931,-0.2985980969950043
2024,2,BUF,off,17,7,0.411765,0.24704947383040288
2024,2,CAR,def,27,16,0.592593,-0.03371667603992305
2024,2,CAR,off,18,10,0.555556,-0.24263609118255167
2024,2,CHI,def,26,7,0.269231,-0.43513339188461714
2024,2,CHI,off,25,11,0.44,-0.10943450048216619
2024,2,CIN,def,26,17,0.653846,-0.05901388814695215
2024,2,CIN,off,26,15,0.576923,0.2149429772129784
2024,2,CLE,def,26,14,0.538462,0.03779865419738389
