team,side,games,plays,penalties,penalties_pg,penalty_yds,penalty_yds_pg,pen_per_100_plays,pen_per_100_plays_w,presnap_pen_rate,presnap_pen_rate_w,rz_pen_rate,rz_pen_rate_w,third_fourth_pen,third_fourth_pen_pg,auto_fd_allowed,def_auto_fd_allowed_pg,dpi_yds,def_dpi_yds_pg
ARI,def,17,1354,85.0,5.0,884.0,52.0,6.116676458766859,6.277695716395864,0.023757408606721438,0.025110782865583457,0.006824783909080173,0.007385524372230428,28.0,1.6470588235294117,20.0,1.1764705882352942,157.0,9.235294117647058
ARI,off,17,1369,107.0,6.294117647058823,1309.0,77.0,7.633006185656592,7.815924032140249,0.0208603587694958,0.02191380569758948,0.016259033945376783,0.016800584368151936,26.0,1.5294117647058822,29.0,1.7058823529411764,155.0,9.117647058823529
ATL,def,17,1404,116.0,6.823529411764706,1574.0,92.58823529411765,8.191085267984647,8.262108262108262,0.03757980079780779,0.03774928774928775,0.012904171884660356,0.013532763532763533,26.0,1.5294117647058822,16.0,0.9411764705882353,74.0,4.352941176470588
ATL,off,17,1421,105.0,6.176470588235294,1220.0,71.76470588235294,7.415563262589779,7.389162561576355,0.02743000708620553,0.02744546094299789,0.015157430618545627,0.015482054890921885,34.0,2.0,28.0,1.6470588235294117,156.0,9.176470588235293
BAL,def,17,1432,119.0,7.0,1674.0,98.47058823529412,8.212589290917238,8.310055865921788,0.025880352846263197,0.02653631284916201,0.016814042816142884,0.017458100558659217,50.0,2.9411764705882355,43.0,2.5294117647058822,228.0,13.411764705882353
BAL,off,17,1398,110.0,6.470588235294118,1355.0,79.70588235294117,7.976779273402387,7.868383404864091,0.025795911042775187,0.02575107296137339,0.008150709355575164,0.007868383404864092,25.0,1.4705882352941178,30.0,1.7647058823529411,67.0,3.9411764705882355
BUF,def,17,1385,119.0,7.0,1483.0,87.23529411764706,8.695082415665398,8.592057761732852,0.036266535158446925,0.036101083032490974,0.018499738911694732,0.018772563176895306,43.0,2.5294117647058822,30.0,1.7647058823529411,87.0,5.117647058823529
BUF,off,17,1378,120.0,7.0588235294117645,1340.0,78.82352941176471,8.520274190856622,8.708272859216255,0.032895814397246634,0.033381712626995644,0.0172880743480035,0.018142235123367198,38.0,2.235294117647059,39.0,2.2941176470588234,138.0,8.117647058823529
CAR,def,17,1494,122.0,7.176470588235294,1779.0,104.6470588235294,8.181482077523928,8.165997322623829,0.023346671037332997,0.023427041499330656,0.018548577606873572,0.018741633199464525,33.0,1.9411764705882353,33.0,1.9411764705882353,204.0,12.0
CAR,off,17,1353,116.0,6.823529411764706,1732.0,101.88235294117646,8.577402001772414,8.573540280857355,0.03848653656892478,0.038433111603843315,0.014869081609396814,0.015521064301552107,50.0,2.9411764705882355,26.0,1.5294117647058822,138.0,8.117647058823529
CHI,def,17,1339,94.0,5.529411764705882,1217.0,71.58823529411765,6.871976586162103,7.0201643017177,0.032550315920826314,0.03286034353995519,0.011194933001387542,0.011202389843166542,30.0,1.7647058823529411,20.0,1.1764705882352942,110.0,6.470588235294118
CHI,off,17,1427,123.0,7.235294117647059,1488.0,87.52941176470588,8.650751396512742,8.619481429572529,0.03561580597251839,0.035739313244569026,0.012210518239299018,0.012613875262789068,50.0,2.9411764705882355,27.0,1.588235294117647,119.0,7.0
CIN,def,17,1418,96.0,5.647058823529412,1231.0,72.41176470588235,6.725038465416188,6.770098730606488,0.020193400310106607,0.020451339915373765,0.0121927125434605,0.011988716502115656,42.0,2.4705882352941178,32.0,1.8823529411764706,215.0,12.647058823529411
CIN,off,17,1426,106.0,6.235294117647059,1146.0,67.41176470588235,7.182982610508931,7.433380084151473,0.032536605416380204,0.033660589060308554,0.017415457324504263,0.018934081346423562,29.0,1.7058823529411764,35.0,2.0588235294117645,225.0,13.235294117647058
CLE,def,17,1379,100.0,5.882352941176471,1502.0,88.3529411764706,7.232484950758409,7.25163161711385,0.033910888394831404,0.0340826686004351,0.00823161407536202,0.00870195794053662,34.0,2.0,19.0,1.1176470588235294,113.0,6.647058823529412
CLE,off,17,1471,127.0,7.470588235294118,1626.0,95.6470588235294,8.70486412370332,8.633582596872875,0.03751200626434371,0.037389530931339225,0.014439571620498515,0.014276002719238613,54.0,3.176470588235294,30.0,1.7647058823529411,115.0,6.764705882352941
DAL,def,17,1407,124.0,7.294117647058823,1776.0,104.47058823529412,8.783744155499546,8.813077469793887,0.03610465967462232,0.03624733475479744,0.015235720372366568,0.014925373134328358,39.0,2.2941176470588234,26.0,1.5294117647058822,59.0,3.4705882352941178
DAL,off,17,1478,136.0,8.0,2034.0,119.6470588235294,9.09318954873497,9.201623815967524,0.033487144495003694,0.03450608930987822,0.010623798976858232,0.010825439783491205,46.0,2.7058823529411766,37.0,2.176470588235294,137.0,8.058823529411764
DEN,def,17,1449,117.0,6.882352941176471,1420.0,83.52941176470588,8.098760693917063,8.074534161490684,0.028626440174677983,0.028295376121463076,0.012798140177452535,0.013112491373360938,40.0,2.3529411764705883,41.0,2.411764705882353,258.0,15.176470588235293
DEN,off,17,1389,91.0,5.352941176470588,1126.0,66.23529411764706,6.559447806646786,6.551475881929446,0.027028629558354205,0.02663786897048236,0.013812898142628297,0.014398848092152628,28.0,1.6470588235294117,19.0,1.1176470588235294,87.0,5.117647058823529
DET,def,17,1386,138.0,8.117647058823529,1881.0,110.6470588235294,9.939764282181045,9.956709956709958,0.03070423826074314,0.030303030303030304,0.015643385415736677,0.016594516594516596,39.0,2.2941176470588234,46.0,2.7058823529411766,285.0,16.764705882352942
DET,off,17,1425,82.0,4.823529411764706,986.0,58.0,5.775269688636153,5.754385964912281,0.019057351827524886,0.018947368421052633,0.011566520052481218,0.011929824561403509,28.0,1.6470588235294117,23.0,1.3529411764705883,5.0,0.29411764705882354
GB,def,17,1377,110.0,6.470588235294118,1213.0,71.3529411764706,8.043974344725354,7.988380537400145,0.0401165046612319,0.03994190268700073,0.015320821028032365,0.015250544662309368,43.0,2.5294117647058822,23.0,1.3529411764705883,40.0,2.3529411764705883
GB,off,17,1364,115.0,6.764705882352941,1561.0,91.82352941176471,8.423966066301924,8.43108504398827,0.033862963470969565,0.03372434017595308,0.018069551711553965,0.018328445747800588,46.0,2.7058823529411766,29.0,1.7058823529411764,231.0,13.588235294117647
HOU,def,17,1390,110.0,6.470588235294118,1715.0,100.88235294117646,7.759835560989312,7.913669064748201,0.028405766426798026,0.02877697841726619,0.0063353739903651216,0.006474820143884892,36.0,2.1176470588235294,34.0,2.0,101.0,5.9411764705882355
