season,team,pot_points,takeaways,games,pot_per_takeaway,pot_per_game
2024,ARI,78,34,16,2.2941176470588234,4.875
2024,ATL,60,32,17,1.875,3.5294117647058822
2024,BAL,66,33,16,2.0,4.125
2024,BUF,132,51,19,2.588235294117647,6.947368421052632
2024,CAR,36,26,14,1.3846153846153846,2.5714285714285716
2024,CHI,54,35,15,1.542857142857143,3.6
2024,CIN,90,36,16,2.5,5.625
2024,CLE,12,25,13,0.48,0.9230769230769231
2024,DAL,24,38,15,0.631578947368421,1.6
2024,DEN,42,35,16,1.2,2.625
2024,DET,90,39,16,2.3076923076923075,5.625
2024,GB,90,42,15,2.142857142857143,6.0
2024,HOU,66,49,17,1.346938775510204,3.8823529411764706
2024,IND,54,38,17,1.4210526315789473,3.176470588235294
2024,JAX,6,16,8,0.375,0.75
2024,KC,96,39,17,2.4615384615384617,5.647058823529412
2024,LA,48,36,17,1.3333333333333333,2.823529411764706
2024,LAC,60,37,17,1.6216216216216217,3.5294117647058822
2024,LV,24,25,14,0.96,1.7142857142857142
2024,MIA,48,30,15,1.6,3.2
2024,MIN,60,45,18,1.3333333333333333,3.3333333333333335
2024,NE,36,29,12,1.2413793103448276,3.0
2024,NO,66,32,14,2.0625,4.714285714285714
2024,NYG,24,27,14,0.8888888888888888,1.7142857142857142
2024,NYJ,48,30,15,1.6,3.2
2024,PHI,138,58,20,2.3793103448275863,6.9
2024,PIT,66,44,15,1.5,4.4
2024,SEA,48,40,15,1.2,3.2
2024,SF,60,33,13,1.8181818181818181,4.615384615384615
2024,TB,84,36,15,2.3333333333333335,5.6
2024,TEN,66,33,14,2.0,4.714285714285714
2024,WAS,96,38,17,2.526315789473684,5.647058823529412
