season,week,team,pot_points,takeaways,games,pot_per_takeaway
2024,1,ARI,0,1,1,0.0
2024,1,ATL,0,1,1,0.0
2024,1,BAL,0,1,1,0.0
2024,1,BUF,6,1,1,6.0
2024,1,CHI,0,4,1,0.0
2024,1,CIN,0,2,1,0.0
2024,1,CLE,0,1,1,0.0
2024,1,DAL,0,3,1,0.0
2024,1,DEN,0,1,1,0.0
2024,1,DET,0,1,1,0.0
2024,1,GB,0,4,1,0.0
2024,1,HOU,0,1,1,0.0
2024,1,IND,12,3,1,4.0
2024,1,KC,0,1,1,0.0
2024,1,LA,6,1,1,6.0
2024,1,LAC,0,3,1,0.0
2024,1,LV,0,2,1,0.0
2024,1,MIA,6,1,1,6.0
2024,1,MIN,0,2,1,0.0
2024,1,NE,0,3,1,0.0
2024,1,NO,6,5,1,1.2
2024,1,NYG,0,3,1,0.0
2024,1,PHI,6,2,1,3.0
2024,1,PIT,0,5,1,0.0
2024,1,SEA,6,5,1,1.2
2024,1,SF,0,2,1,0.0
2024,1,TB,12,3,1,4.0
2024,1,TEN,0,2,1,0.0
2024,2,ARI,0,1,1,0.0
2024,2,ATL,0,1,1,0.0
2024,2,BAL,0,2,1,0.0
2024,2,BUF,6,3,1,2.0
2024,2,CAR,0,3,1,0.0
2024,2,CHI,0,1,1,0.0
2024,2,CIN,18,4,1,4.5
2024,2,CLE,0,1,1,0.0
2024,2,DAL,0,1,1,0.0
2024,2,DEN,0,1,1,0.0
2024,2,DET,0,3,1,0.0
2024,2,GB,0,6,1,0.0
2024,2,HOU,0,3,1,0.0
2024,2,IND,0,1,1,0.0
2024,2,JAX,0,1,1,0.0
2024,2,KC,0,3,1,0.0
2024,2,LA,0,2,1,0.0
2024,2,LAC,6,1,1,6.0
2024,2,LV,6,1,1,6.0
2024,2,MIA,0,1,1,0.0
2024,2,MIN,6,4,1,1.5
2024,2,NO,12,3,1,4.0
2024,2,NYJ,6,2,1,3.0
2024,2,PHI,6,1,1,6.0
2024,2,PIT,0,2,1,0.0
2024,2,SEA,0,1,1,0.0
2024,2,SF,12,5,1,2.4
2024,2,TB,0,2,1,0.0
2024,2,WAS,0,1,1,0.0
2024,3,ARI,0,1,1,0.0
2024,3,ATL,0,2,1,0.0
2024,3,BAL,0,2,1,0.0
2024,3,BUF,12,2,1,6.0
2024,3,CAR,0,1,1,0.0
2024,3,CHI,0,2,1,0.0
2024,3,CIN,6,1,1,6.0
2024,3,CLE,0,3,1,0.0
2024,3,DEN,6,2,1,3.0
2024,3,DET,0,1,1,0.0
2024,3,GB,0,3,1,0.0
2024,3,HOU,0,1,1,0.0
2024,3,IND,12,3,1,4.0
2024,3,KC,0,3,1,0.0
2024,3,LA,0,3,1,0.0
2024,3,LAC,0,1,1,0.0
2024,3,MIA,0,3,1,0.0
2024,3,MIN,18,3,1,6.0
2024,3,NE,0,1,1,0.0
2024,3,NO,6,4,1,1.5
2024,3,NYG,6,2,1,3.0
2024,3,NYJ,0,1,1,0.0
2024,3,PHI,0,1,1,0.0
2024,3,PIT,0,2,1,0.0
2024,3,SEA,0,3,1,0.0
2024,3,SF,0,1,1,0.0
2024,3,TB,6,2,1,3.0
2024,4,ARI,0,1,1,0.0
2024,4,ATL,0,1,1,0.0
2024,4,BAL,6,1,1,6.0
2024,4,BUF,0,2,1,0.0
2024,4,CAR,0,1,1,0.0
2024,4,CHI,6,3,1,2.0
2024,4,CIN,12,2,1,6.0
2024,4,CLE,0,1,1,0.0
2024,4,DAL,6,2,1,3.0
2024,4,DEN,0,1,1,0.0
2024,4,DET,6,2,1,3.0
2024,4,GB,6,2,1,3.0
2024,4,HOU,6,2,1,3.0
2024,4,IND,0,3,1,0.0
2024,4,KC,0,1,1,0.0
2024,4,LA,0,1,1,0.0
2024,4,LAC,6,2,1,3.0
2024,4,LV,6,2,1,3.0
2024,4,MIA,0,2,1,0.0
2024,4,MIN,12,5,1,2.4
2024,4,NE,6,3,1,2.0
2024,4,NO,12,3,1,4.0
2024,4,NYG,0,1,1,0.0
2024,4,NYJ,0,1,1,0.0
2024,4,PHI,6,2,1,3.0
2024,4,PIT,0,1,1,0.0
2024,4,SF,6,5,1,1.2
2024,4,TB,0,3,1,0.0
2024,4,TEN,0,2,1,0.0
2024,4,WAS,6,2,1,3.0
2024,5,ARI,0,3,1,0.0
2024,5,ATL,6,2,1,3.0
2024,5,BAL,0,1,1,0.0
2024,5,BUF,0,2,1,0.0
2024,5,CHI,18,5,1,3.6
2024,5,CIN,0,2,1,0.0
2024,5,CLE,0,3,1,0.0
2024,5,DAL,0,2,1,0.0
2024,5,DEN,6,3,1,2.0
2024,5,GB,12,2,1,6.0
2024,5,IND,6,3,1,2.0
2024,5,JAX,0,1,1,0.0
2024,5,KC,6,1,1,6.0
2024,5,LA,0,2,1,0.0
2024,5,LV,0,1,1,0.0
2024,5,MIN,0,4,1,0.0
2024,5,NE,6,4,1,1.5
2024,5,NO,6,2,1,3.0
2024,5,NYG,6,2,1,3.0
2024,5,NYJ,12,3,1,4.0
2024,5,PIT,12,5,1,2.4
2024,5,SEA,0,2,1,0.0
2024,5,SF,0,3,1,0.0
2024,5,TB,0,2,1,0.0
2024,5,WAS,0,1,1,0.0
2024,6,ARI,0,1,1,0.0
2024,6,ATL,18,5,1,3.6
2024,6,BUF,6,3,1,2.0
2024,6,CAR,0,1,1,0.0
2024,6,CHI,12,3,1,4.0
2024,6,CIN,0,1,1,0.0
2024,6,CLE,0,2,1,0.0
2024,6,DAL,0,1,1,0.0
2024,6,DEN,0,2,1,0.0
2024,6,DET,12,6,1,2.0
2024,6,GB,6,4,1,1.5
2024,6,HOU,12,4,1,3.0
2024,6,IND,0,2,1,0.0
2024,6,JAX,0,2,1,0.0
2024,6,LAC,6,2,1,3.0
2024,6,LV,0,2,1,0.0
2024,6,NE,6,3,1,2.0
2024,6,NO,6,4,1,1.5
2024,6,NYG,6,2,1,3.0
2024,6,NYJ,6,1,1,6.0
2024,6,PIT,12,4,1,3.0
2024,6,SF,12,3,1,4.0
2024,6,TB,18,6,1,3.0
2024,6,TEN,12,2,1,6.0
2024,6,WAS,0,2,1,0.0
2024,7,ARI,0,2,1,0.0
2024,7,ATL,0,1,1,0.0
2024,7,BAL,18,4,1,4.5
2024,7,BUF,12,5,1,2.4
2024,7,CAR,0,1,1,0.0
2024,7,CIN,0,3,1,0.0
2024,7,DEN,6,3,1,2.0
2024,7,DET,12,2,1,6.0
2024,7,GB,6,1,1,6.0
2024,7,HOU,6,3,1,2.0
2024,7,IND,6,2,1,3.0
2024,7,KC,18,4,1,4.5
2024,7,LA,12,4,1,3.0
2024,7,LAC,0,2,1,0.0
2024,7,LV,0,1,1,0.0
2024,7,MIA,0,2,1,0.0
2024,7,MIN,0,3,1,0.0
2024,7,NO,12,1,1,12.0
2024,7,NYJ,0,1,1,0.0
2024,7,PHI,6,3,1,2.0
2024,7,PIT,12,2,1,6.0
2024,7,SEA,0,3,1,0.0
2024,7,SF,6,2,1,3.0
2024,7,TB,6,2,1,3.0
2024,7,TEN,0,1,1,0.0
2024,7,WAS,0,2,1,0.0
2024,8,ARI,12,4,1,3.0
2024,8,ATL,6,4,1,1.5
2024,8,BAL,6,1,1,6.0
2024,8,BUF,12,3,1,4.0
2024,8,CAR,12,2,1,6.0
2024,8,DAL,0,1,1,0.0
2024,8,DEN,0,2,1,0.0
2024,8,DET,18,4,1,4.5
2024,8,GB,12,3,1,4.0
2024,8,HOU,6,3,1,2.0
2024,8,IND,0,1,1,0.0
2024,8,JAX,0,1,1,0.0
2024,8,KC,6,1,1,6.0
2024,8,LAC,0,1,1,0.0
2024,8,LV,0,2,1,0.0
2024,8,MIA,0,1,1,0.0
2024,8,MIN,0,1,1,0.0
2024,8,NE,0,2,1,0.0
2024,8,NO,0,1,1,0.0
2024,8,NYG,0,1,1,0.0
2024,8,NYJ,6,2,1,3.0
2024,8,PHI,6,3,1,2.0
2024,8,PIT,0,2,1,0.0
2024,8,SEA,0,4,1,0.0
2024,8,SF,6,4,1,1.5
2024,8,TB,6,1,1,6.0
