season,team,net_epa,power_score_plus,rank_power_plus
2025,IND,0.1914520282298325,1.8791132141083737,1
2025,HOU,0.1621770858764648,1.5873340760225199,2
2025,DET,0.1305837286636233,1.2724476306273187,3
2025,SEA,0.1196049116551875,1.163023341238233,4
2025,GB,0.095154820010066,0.9193327959172101,5
2025,DEN,0.08317231573164459,0.799904899928009,6
2025,WAS,0.0755628664046526,0.7240626134040087,7
2025,KC,0.06861897930502892,0.6548538898329236,8
2025,NE,0.0650016479194164,0.6188004684077055,9
2025,LA,0.0647219861857592,0.6160131201486677,10
2025,BUF,0.0603969432413578,0.5729060394491025,11
2025,MIN,0.052454829216003404,0.49374813174340554,12
2025,PIT,0.0451271068304777,0.42071377710751506,13
2025,JAX,0.03907180018723,0.3603614070879338,14
2025,TB,0.026328653097152703,0.2333522936432994,15
2025,SF,0.009348543593659999,0.06411398547759356,16
2025,ARI,0.0085164187476038,0.05582031687079028,17
2025,LAC,0.0084322085604071,0.05498100605194335,18
2025,ATL,0.005524053238332301,0.025995840409177875,19
2025,,0.0,-0.02906160336527764,20
2025,PHI,-0.0031054969877004988,-0.06001364499398573,21
2025,DAL,-0.008761182427406311,-0.11638304797906932,22
2025,CAR,-0.0330759263597428,-0.35872460212184804,23
2025,CHI,-0.0369931217283009,-0.3977667247178743,24
2025,NYG,-0.0506552103906869,-0.533934796587875,25
2025,MIA,-0.09620319306850429,-0.9879049860715828,26
2025,LV,-0.1118018371053039,-1.14337442670882,27
2025,NO,-0.11524259671568861,-1.1776679826571266,28
2025,BAL,-0.11681974469684059,-1.1933871896505923,29
2025,NYJ,-0.12145075947046269,-1.2395438475459364,30
2025,CLE,-0.1471222395775839,-1.4954077959230136,31
2025,CIN,-0.1863980963826179,-1.8868646093243189,32
2025,TEN,-0.18739931285381312,-1.8968435898284117,33
