season,team,rz_trips,rz_td,rz_fg,rz_empty,rz_efficiency,rz_trips_allowed,rz_td_allowed,rz_fg_allowed,rz_empty_allowed,rz_efficiency_allowed
2024,ARI,58,32,0,26,0.5517,60,31,0,29,0.5167
2024,ATL,54,31,0,23,0.5741,59,37,0,22,0.6271
2024,BAL,76,55,0,21,0.7237,53,28,0,25,0.5283
2024,BUF,80,55,0,25,0.6875,74,43,0,31,0.5811
2024,CAR,52,31,0,21,0.5962,79,51,0,28,0.6456
2024,CHI,37,23,0,14,0.6216,63,31,0,32,0.4921
2024,CIN,61,39,0,22,0.6393,52,36,0,16,0.6923
2024,CLE,40,19,0,21,0.475,56,34,0,22,0.6071
2024,DAL,53,23,0,30,0.434,58,42,0,16,0.7241
2024,DEN,60,36,0,24,0.6,55,26,0,29,0.4727
2024,DET,79,54,0,25,0.6835,60,32,0,28,0.5333
2024,GB,74,45,0,29,0.6081,55,32,0,23,0.5818
2024,HOU,65,32,0,33,0.4923,54,31,0,23,0.5741
2024,IND,55,28,0,27,0.5091,62,38,0,24,0.6129
2024,JAX,50,29,0,21,0.58,62,36,0,26,0.5806
2024,KC,79,42,0,37,0.5316,64,34,0,30,0.5312
2024,LA,74,38,0,36,0.5135,61,31,0,30,0.5082
2024,LAC,53,28,0,25,0.5283,46,21,0,25,0.4565
2024,LV,48,23,0,25,0.4792,60,35,0,25,0.5833
2024,MIA,56,31,0,25,0.5536,57,27,0,30,0.4737
2024,MIN,64,33,0,31,0.5156,54,31,0,23,0.5741
2024,NE,50,23,0,27,0.46,60,38,0,22,0.6333
2024,NO,47,25,0,22,0.5319,55,30,0,25,0.5455
2024,NYG,46,20,0,26,0.4348,56,30,0,26,0.5357
2024,NYJ,55,32,0,23,0.5818,64,37,0,27,0.5781
2024,PHI,85,50,0,35,0.5882,63,29,0,34,0.4603
2024,PIT,57,28,0,29,0.4912,67,36,0,31,0.5373
2024,SEA,46,27,0,19,0.587,59,31,0,28,0.5254
2024,SF,64,36,0,28,0.5625,61,41,0,20,0.6721
2024,TB,72,47,0,25,0.6528,64,33,0,31,0.5156
2024,TEN,46,25,0,21,0.5435,58,36,0,22,0.6207
2024,WAS,84,51,0,33,0.6071,69,43,0,26,0.6232
