week,team,st_plays,st_epa,st_epa_per_play,ko_plays,ko_tb_rate,ko_opp_start_yd100,punt_plays,punt_opp_start_yd100,ret_plays,ret_epa,ret_epa_against,fg_att,fg_made,fg_pct,fg_epa_per_att,xp_att,xp_made,xp_pct,xp_epa_per_att,st_pen_rate
1,ARI,13,6.92827517512779,0.5329442442405992,7,0.42857142857142855,81.28571428571429,2,80.0,0,0.0,0.0,2,0,0.0,3.464137587563895,2,0,0.0,3.464137587563895,0.07692307692307693
1,ATL,12,0.9092869736358679,0.07577391446965566,6,0.6666666666666666,70.33333333333333,4,70.5,0,0.0,0.0,1,0,0.0,0.9092869736358679,1,0,0.0,0.9092869736358679,0.16666666666666666
1,BAL,13,-0.4686644286486201,-0.0360511098960477,6,1.0,70.0,2,47.5,0,0.0,0.0,3,0,0.0,-0.15622147621620672,2,0,0.0,-0.23433221432431006,0.0
1,BUF,14,5.123381202276709,0.3659558001626221,6,0.6666666666666666,76.0,2,59.5,0,0.0,0.0,2,0,0.0,2.5616906011383547,4,0,0.0,1.2808453005691773,0.07142857142857142
1,CAR,17,-1.7292665392796351,-0.10172156113409618,10,0.1,71.9,5,74.4,0,0.0,0.0,1,0,0.0,-1.7292665392796351,1,0,0.0,-1.7292665392796351,0.058823529411764705
1,CHI,14,-1.4131002305329374,-0.10093573075235267,4,0.5,79.33333333333333,6,57.0,0,0.0,0.0,3,0,0.0,-0.47103341017764583,1,0,0.0,-1.4131002305329374,0.21428571428571427
1,CIN,10,3.802936829132798,0.3802936829132798,4,1.0,70.0,4,72.5,0,0.0,0.0,1,0,0.0,3.802936829132798,1,0,0.0,3.802936829132798,0.2
1,CLE,18,0.8349485247798347,0.046386029154435265,8,0.5,71.375,7,77.0,0,0.0,0.0,1,0,0.0,0.8349485247798347,2,0,0.0,0.41747426238991736,0.16666666666666666
1,DAL,17,4.892132170357211,0.2877724806092477,4,0.75,69.25,6,69.83333333333333,0,0.0,0.0,4,0,0.0,1.2230330425893028,3,0,0.0,1.6307107234524036,0.11764705882352941
1,DEN,20,10.271242583931691,0.5135621291965846,8,0.625,69.375,8,63.0,0,0.0,0.0,3,0,0.0,3.4237475279772305,1,0,0.0,10.271242583931691,0.0
1,DET,14,2.1840770262494953,0.15600550187496395,6,1.0,70.0,4,64.25,0,0.0,0.0,2,0,0.0,1.0920385131247476,2,0,0.0,1.0920385131247476,0.07142857142857142
1,GB,14,-0.481832193034883,-0.03441658521677736,6,0.8333333333333334,72.33333333333333,2,58.0,0,0.0,0.0,4,0,0.0,-0.12045804825872075,2,0,0.0,-0.2409160965174415,0.07142857142857142
1,HOU,12,2.607710065520684,0.21730917212672365,5,1.0,70.0,2,85.5,0,0.0,0.0,3,0,0.0,0.8692366885068946,2,0,0.0,1.303855032760342,0.0
1,IND,13,3.8611030921349263,0.2970079301642251,7,0.42857142857142855,74.14285714285714,3,65.33333333333333,0,0.0,0.0,0,0,0.0,0.0,3,0,0.0,1.2870343640449755,0.0
1,JAX,13,4.475631695116132,0.34427936116277935,4,0.5,79.75,6,69.5,0,0.0,0.0,1,0,0.0,4.475631695116132,2,0,0.0,2.237815847558066,0.0
1,KC,13,-0.00472783974383395,-0.00036367998029491924,5,0.6,69.2,3,51.333333333333336,0,0.0,0.0,2,0,0.0,-0.002363919871916975,3,0,0.0,-0.0015759465812779834,0.07692307692307693
1,LA,12,-0.16885486874659117,-0.014071239062215931,5,0.8,71.6,3,77.0,0,0.0,0.0,2,0,0.0,-0.08442743437329558,2,0,0.0,-0.08442743437329558,0.0
1,LAC,14,-1.7461465035870245,-0.12472475025621603,3,0.6666666666666666,68.0,7,64.0,0,0.0,0.0,3,0,0.0,-0.5820488345290081,1,0,0.0,-1.7461465035870245,0.0
1,LV,14,-4.006514956145209,-0.2861796397246578,6,0.8333333333333334,69.5,5,63.8,0,0.0,0.0,2,0,0.0,-2.0032574780726047,1,0,0.0,-4.006514956145209,0.0
1,MIA,12,-0.42574543299276546,-0.03547878608273045,3,1.0,70.0,4,62.75,0,0.0,0.0,3,0,0.0,-0.1419151443309218,2,0,0.0,-0.21287271649638273,0.08333333333333333
1,MIN,11,-1.6290068015784112,-0.1480915274162192,3,1.0,70.0,4,62.0,0,0.0,0.0,0,0,0.0,0.0,4,0,0.0,-0.4072517003946028,0.18181818181818182
1,NE,12,8.674688467211034,0.7228907056009195,3,0.6666666666666666,70.0,5,62.8,0,0.0,0.0,3,0,0.0,2.891562822403678,1,0,0.0,8.674688467211034,0.0
1,NO,13,3.082103009573605,0.2370848468902773,2,0.0,63.5,2,60.5,0,0.0,0.0,4,0,0.0,0.7705257523934013,5,0,0.0,0.616420601914721,0.15384615384615385
1,NYG,13,6.112127854661201,0.47016368112778467,5,0.8,70.4,6,64.5,0,0.0,0.0,2,0,0.0,3.0560639273306003,0,0,0.0,0.0,0.07692307692307693
1,NYJ,13,2.3003831888641675,0.17695255298955134,9,0.6666666666666666,74.44444444444444,3,66.0,0,0.0,0.0,0,0,0.0,0.0,1,0,0.0,2.3003831888641675,0.0
1,PHI,15,3.310571554025798,0.22070477026838653,7,0.7142857142857143,73.0,2,67.0,0,0.0,0.0,2,0,0.0,1.655285777012899,4,0,0.0,0.8276428885064495,0.0
1,PIT,12,6.6300228743569525,0.5525019061964127,3,1.0,70.0,3,72.33333333333333,0,0.0,0.0,6,0,0.0,1.1050038123928254,0,0,0.0,0.0,0.0
1,SEA,14,1.2781292334833745,0.09129494524881246,5,0.4,73.4,5,75.6,0,0.0,0.0,2,0,0.0,0.6390646167416872,2,0,0.0,0.6390646167416872,0.0
1,SF,13,7.1879759116502715,0.5529212239730978,4,1.0,70.0,1,84.0,0,0.0,0.0,6,0,0.0,1.1979959852750452,2,0,0.0,3.5939879558251357,0.0
1,TB,12,6.07177799033895,0.5059814991949125,4,0.25,73.0,1,78.0,0,0.0,0.0,3,0,0.0,2.02392599677965,4,0,0.0,1.5179444975847376,0.08333333333333333
1,TEN,15,-4.474422149182879,-0.29829480994552526,6,0.16666666666666666,73.33333333333333,6,72.66666666666667,0,0.0,0.0,1,0,0.0,-4.474422149182879,2,0,0.0,-2.2372110745914395,0.06666666666666667
1,WAS,15,-5.360697304153838,-0.35737982027692256,8,0.75,70.75,3,65.0,0,0.0,0.0,2,0,0.0,-2.680348652076919,2,0,0.0,-2.680348652076919,0.06666666666666667
2,ARI,11,4.874400401004506,0.4431273091822278,3,1.0,70.0,1,77.0,0,0.0,0.0,2,0,0.0,2.437200200502253,5,0,0.0,0.9748800802009011,0.0
2,ATL,11,0.7939504413305645,0.07217731284823313,5,0.8,71.2,2,70.5,0,0.0,0.0,3,0,0.0,0.26465014711018814,1,0,0.0,0.7939504413305645,0.09090909090909091
2,BAL,17,-0.4982168616007536,-0.029306874211809036,7,0.7142857142857143,72.28571428571429,4,76.75,0,0.0,0.0,4,0,0.0,-0.1245542154001884,2,0,0.0,-0.2491084308003768,0.058823529411764705
2,BUF,12,-2.409585527575686,-0.2007987939646405,3,0.6666666666666666,70.66666666666667,3,58.666666666666664,0,0.0,0.0,2,0,0.0,-1.204792763787843,4,0,0.0,-0.6023963818939215,0.08333333333333333
2,CAR,14,0.2526233934060014,0.01804452810042867,6,0.3333333333333333,71.66666666666667,7,68.28571428571429,0,0.0,0.0,1,0,0.0,0.2526233934060014,0,0,0.0,0.0,0.14285714285714285
2,CHI,15,5.510092891665178,0.3673395261110119,6,0.6666666666666666,72.16666666666667,6,70.16666666666667,0,0.0,0.0,2,0,0.0,2.755046445832589,1,0,0.0,5.510092891665178,0.06666666666666667
2,CIN,13,3.295033768755064,0.2534641360580819,5,0.6,70.8,2,69.5,0,0.0,0.0,4,0,0.0,0.823758442188766,2,0,0.0,1.647516884377532,0.0
2,CLE,14,5.6322435363907495,0.4023031097421964,5,0.6,68.0,5,53.8,0,0.0,0.0,3,0,0.0,1.87741451213025,1,0,0.0,5.6322435363907495,0.07142857142857142
2,DAL,14,5.692508847948078,0.40660777485343413,8,0.375,75.5,1,64.0,0,0.0,0.0,4,0,0.0,1.4231272119870195,1,0,0.0,5.692508847948078,0.0
