team,game_rhythm_q4,play_call_entropy_neutral,neutral_pass_rate,neutral_plays,drive_momentum_3plus,drives_with_3plus,drives_total,field_flip_eff,punts_tracked,twomin_success_rate,twomin_epa_play,twomin_plays,pen_timing_index,pen_3rd_kill_rate,pen_rz_off_pen_rate,off_pens_tracked,qb_volatility_std,qb_dropbacks,rz_denial_rate_def,rz_trips_def,rz_fg_def,rz_td_def,neg_epa_recovery_rate,neg_events_tracked,third_down_avg_ytg,third_down_plays,run_sustainability_rate,rushes_tracked_ybc,def_adj_speed,def_epa_drive_h1,def_epa_drive_h2,def_drives_tracked,exp_to_succ_balance,explosive_rate,success_rate,plays_tracked
ARI,2.774252059080565,0.9605187074766162,0.6164383561643836,146,0.15254237288135594,9,59,8.0,22,0.43243243243243246,0.12768827,37,0.14893617021276595,0.10638297872340426,0.19148936170212766,47,1.387754,224,0.35,23,7,13,0.3474178403755869,213,7.266667,90,,,-1.2884898,-0.5640295,0.72446036,63,0.2894736842105263,0.11891891891891893,0.41081081081081083,370
ATL,2.304877995168221,0.9998646331239298,0.4931506849315068,146,0.2549019607843137,13,51,13.727272727272727,11,0.3333333333333333,-0.18693297,42,0.078125,0.03125,0.125,32,1.5948361,171,0.18181818181818182,12,2,9,0.34831460674157305,178,6.3150687,73,,,0.15532526,-0.0756141,-0.23093937,49,0.31250000000000006,0.1388888888888889,0.4444444444444444,324
BAL,2.4064171982062454,0.9970229471810963,0.5321100917431193,109,0.18032786885245902,11,61,-0.5,14,0.4,-0.21429716,45,0.16249999999999998,0.15,0.175,40,1.7547259,183,0.30303030303030304,35,10,23,0.30939226519337015,181,7.6410255,78,,,-0.67057824,0.6116446,1.2822229,65,0.381294964028777,0.16459627329192547,0.43167701863354035,322
BUF,2.2857142857142856,0.9940302114769565,0.45454545454545453,132,0.27419354838709675,17,62,4.875,16,0.5,0.096459135,30,0.11,0.1,0.12,50,1.4771786,194,0.2727272727272727,24,6,16,0.3621621621621622,185,6.7236843,76,,,0.20701537,0.5211816,0.31416622,62,0.33516483516483514,0.16486486486486487,0.4918918918918919,370
CAR,2.4434389983799103,0.9953035154831573,0.4596774193548387,124,0.2857142857142857,16,56,4.0,17,0.3958333333333333,-0.101794176,48,0.125,0.1346153846153846,0.11538461538461539,52,1.6590776,214,0.3181818181818182,23,7,15,0.30808080808080807,198,6.8426967,89,,,1.8808626,1.2921776,-0.58868504,59,0.26666666666666666,0.12598425196850394,0.47244094488188976,381
CHI,2.281603217236378,0.9904799742690308,0.5573770491803278,122,0.20754716981132076,11,53,2.5294117647058822,17,0.4375,0.20776293,32,0.0875,0.1,0.075,40,1.5756305,174,0.19047619047619047,23,4,17,0.3588235294117647,170,8.357142,70,,,-0.69671685,-0.14953183,0.547185,56,0.3484848484848485,0.15081967213114755,0.43278688524590164,305
CIN,3.2090760361562802,0.9794662187017298,0.5841584158415841,101,0.171875,11,64,7.555555555555555,27,0.4883720930232558,-0.4196189,43,0.1111111111111111,0.1111111111111111,0.1111111111111111,45,1.7817668,220,0.08695652173913043,29,2,21,0.2512820512820513,195,7.373494,83,,,0.656991,1.0881455,0.4311545,65,0.2196969696969697,0.08868501529051988,0.4036697247706422,327
CLE,2.342857142857143,0.985687679358613,0.5703125,128,0.12121212121212122,8,66,13.366666666666667,30,0.3728813559322034,-0.022464426,59,0.20212765957446807,0.2553191489361702,0.14893617021276595,47,1.4541179,264,0.16666666666666666,18,3,15,0.26153846153846155,260,7.409091,110,,,0.69734114,0.36937016,-0.32797098,66,0.24647887323943662,0.08663366336633663,0.35148514851485146,404
DAL,2.50965254661608,0.9888330939864309,0.5621301775147929,169,0.3114754098360656,19,61,9.526315789473685,19,0.5777777777777777,0.5303652,45,0.16,0.1,0.22,50,1.4679509,241,0.27586206896551724,30,8,21,0.35175879396984927,199,6.634146,82,,,-0.6338296,1.1870543,1.8208839,59,0.2596685082872928,0.12335958005249344,0.47506561679790027,381
DEN,2.150803420496099,0.9987908790105046,0.52046783625731,171,0.2222222222222222,14,63,18.192307692307693,26,0.3235294117647059,0.22700952,34,0.10576923076923077,0.07692307692307693,0.1346153846153846,52,1.5143335,213,0.6470588235294118,18,11,6,0.27488151658767773,211,7.348315,89,,,0.8757343,-0.024301033,-0.9000354,70,0.3227848101265823,0.13672922252010725,0.42359249329758714,373
DET,2.288828290293259,0.9974015885677396,0.47,100,0.31746031746031744,20,63,17.42105263157895,19,0.4857142857142857,0.29262048,35,0.1607142857142857,0.03571428571428571,0.2857142857142857,28,1.545156,184,0.21739130434782608,25,5,18,0.3409090909090909,176,6.630137,73,,,0.30772185,0.08416888,-0.22355296,67,0.24293785310734464,0.12181303116147309,0.5014164305949008,353
GB,2.5563908796806287,0.999960419527173,0.4962962962962963,135,0.2553191489361702,12,47,11.692307692307692,13,0.4230769230769231,-0.08656837,26,0.1527777777777778,0.1388888888888889,0.16666666666666666,36,1.5919689,156,0.26666666666666666,16,4,11,0.4407894736842105,152,6.2763157,76,,,-1.9647807,-0.8349476,1.1298331,48,0.3466666666666667,0.17105263157894737,0.4934210526315789,304
HOU,2.434488525532803,0.9966132830150962,0.5342465753424658,146,0.22448979591836735,11,49,13.764705882352942,17,0.4482758620689655,-0.06532547,29,0.140625,0.125,0.15625,32,1.5465436,161,0.2,12,2,8,0.3132530120481928,166,7.421875,64,,,0.8061259,-0.6441711,-1.450297,52,0.2926829268292683,0.12413793103448276,0.4241379310344828,290
IND,2.086230831942481,0.9603622703154779,0.6166666666666667,120,0.32727272727272727,18,55,16.5,10,0.5,0.1437618,42,0.15384615384615383,0.05128205128205128,0.2564102564102564,39,1.2998685,191,0.23529411764705882,21,4,13,0.39655172413793105,174,6.757143,70,,,-0.39971226,-0.39843658,0.0012756969,56,0.3043478260869565,0.15598885793871867,0.5125348189415042,359
JAX,2.3090378495144,0.9949198310919904,0.5419354838709678,155,0.265625,17,64,10.08695652173913,23,0.5294117647058824,0.35772267,34,0.15740740740740738,0.18518518518518517,0.12962962962962962,54,1.3265938,223,0.25,22,5,15,0.32019704433497537,203,8.044944,89,,,0.21430595,-0.10501106,-0.319317,67,0.25,0.11140583554376658,0.44562334217506633,377
KC,2.3518687983348587,0.9395263129669762,0.64375,160,0.2641509433962264,14,53,20.153846153846153,13,0.4594594594594595,0.21159188,37,0.15151515151515152,0.21212121212121213,0.09090909090909091,33,1.6671535,223,0.2777777777777778,20,5,13,0.42777777777777776,180,7.1566267,83,,,-0.38703662,0.25784808,0.6448847,54,0.3027027027027028,0.15217391304347827,0.5027173913043478,368
LAR,2.2965115260407414,0.964078764808229,0.6111111111111112,180,0.29508196721311475,18,61,16.8125,16,0.6046511627906976,0.3348413,43,0.18055555555555555,0.08333333333333333,0.2777777777777778,36,1.5633272,218,0.47058823529411764,19,8,9,0.39325842696629215,178,5.826667,75,,,0.8223391,-0.1213677,-0.9437068,62,0.3276836158192091,0.16292134831460675,0.49719101123595505,356
LAC,2.667706692392366,0.9487095702247625,0.6325301204819277,166,0.23728813559322035,14,59,4.9411764705882355,17,0.3958333333333333,0.22262649,48,0.18888888888888888,0.13333333333333333,0.24444444444444444,45,1.5413486,237,0.45454545454545453,24,10,12,0.3827751196172249,209,7.05618,89,,,-0.59776425,-0.2915914,0.30617288,60,0.27710843373493976,0.12234042553191489,0.44148936170212766,376
